number;id;comments;title;createdAt;closedAt
3;MDU6SXNzdWUyMjc3MzE4OA==;{'totalCount': 4};Missing image;2013-11-16T06:03:44Z;2014-02-08T07:42:17Z
9;MDU6SXNzdWUyMjg5MDUwOQ==;{'totalCount': 17};Is the open parts of book welcome translate to other language like chinese?;2013-11-19T05:51:57Z;2014-03-17T16:24:01Z
11;MDU6SXNzdWUyMjk5MjUwNg==;{'totalCount': 0};Code missing in code snippet -  Module section, Chapter 5;2013-11-20T13:57:54Z;2013-11-20T14:50:14Z
12;MDU6SXNzdWUyMzA5ODMxNA==;{'totalCount': 2};Joining?;2013-11-21T21:18:09Z;2014-03-31T15:03:15Z
22;MDU6SXNzdWUyNDY4MjkwNw==;{'totalCount': 0};Appendix to discuss indirect `this` bindings;2013-12-22T15:47:44Z;2014-03-31T06:45:31Z
23;MDU6SXNzdWUyNDY5MTM0MQ==;{'totalCount': 4};"""types & grammar"": cover (some) native functions and control flows";2013-12-23T01:10:26Z;2014-09-02T03:02:51Z
25;MDU6SXNzdWUyNDc0NzAzNA==;{'totalCount': 0};"""this & object prototypes"": Add discussion of ES5's (`forEach`, `every`, `some`) array value-iterations";2013-12-24T13:45:06Z;2014-03-31T03:56:10Z
26;MDU6SXNzdWUyNDc0NzkyMw==;{'totalCount': 0};Add discussion of moot/ignored value for `this` binding;2013-12-24T14:21:20Z;2014-03-31T06:45:31Z
28;MDU6SXNzdWUyNTE4NDgyNg==;{'totalCount': 1};"Chapter 1, ""Compilation"" Section edits";2014-01-07T18:01:04Z;2014-01-13T06:23:59Z
29;MDU6SXNzdWUyNTE4NDkyNQ==;{'totalCount': 1};"Chapter 1, ""Scope Conversations"" section edits";2014-01-07T18:02:01Z;2014-01-13T06:18:07Z
30;MDU6SXNzdWUyNTE4NDk1NQ==;{'totalCount': 0};"Chapter 1, ""Conversation?"" section edits";2014-01-07T18:02:35Z;2014-01-13T06:12:41Z
31;MDU6SXNzdWUyNTE4NDk4OA==;{'totalCount': 1};"Chapter 1, ""Building on Metaphors"" section edits";2014-01-07T18:03:32Z;2014-02-08T07:41:04Z
32;MDU6SXNzdWUyNTE4NTE0Mg==;{'totalCount': 1};"Chapter 2, ""Lex-Time"" section edits";2014-01-07T18:06:18Z;2014-01-13T05:11:14Z
33;MDU6SXNzdWUyNTE4NTE3MQ==;{'totalCount': 1};"Chapter 2, ""Cheating Lexical"" section edits";2014-01-07T18:06:42Z;2014-01-07T19:03:06Z
34;MDU6SXNzdWUyNTE4NTE5MQ==;{'totalCount': 0};"Chapter 3, ""Collision Avoidance"" section edits";2014-01-07T18:07:04Z;2014-01-13T05:15:42Z
35;MDU6SXNzdWUyNTE4NTIyNA==;{'totalCount': 4};"Chapter 3, ""IIFE"" section edits";2014-01-07T18:07:31Z;2014-01-14T07:43:53Z
36;MDU6SXNzdWUyNTE4NTI5Nw==;{'totalCount': 1};"Chapter 5, ""Future Modules"" section edits";2014-01-07T18:08:57Z;2014-01-14T08:02:20Z
37;MDU6SXNzdWUyNTI3NzU5OA==;{'totalCount': 28};Tech Editors;2014-01-08T23:05:31Z;2018-03-18T20:06:49Z
38;MDU6SXNzdWUyNTQ4MDM2MA==;{'totalCount': 5};technical review - iennae@gmail.com  ;2014-01-13T06:53:39Z;2014-02-08T06:26:15Z
39;MDU6SXNzdWUyNTQ5OTg0MQ==;{'totalCount': 7};technical review -harlinjesse@gmail.com;2014-01-13T14:22:47Z;2014-02-09T19:57:49Z
40;MDU6SXNzdWUyNTUwMTg2Mg==;{'totalCount': 8};technical review - evan@evan-borden.com;2014-01-13T14:53:09Z;2014-02-09T19:58:01Z
41;MDU6SXNzdWUyNTUyNTU1OQ==;{'totalCount': 13};scope & closure technical review - shelley.just@gmail.com;2014-01-13T20:26:49Z;2014-02-09T19:58:27Z
42;MDU6SXNzdWUyNTU2MTE3Mg==;{'totalCount': 2};ES6 modules are privileged over other module systems;2014-01-14T09:14:07Z;2014-01-14T15:47:21Z
43;MDU6SXNzdWUyNTU5NzQ2Mw==;{'totalCount': 0};"ES6 has no ""inline module"" syntax";2014-01-14T19:13:26Z;2014-01-14T19:17:29Z
44;MDU6SXNzdWUyNjA1NzkyNg==;{'totalCount': 13};technical review - vball525;2014-01-22T00:45:16Z;2014-02-09T19:57:33Z
45;MDU6SXNzdWUyNjA5NzU3OQ==;{'totalCount': 2};"""types & grammar"": address parseInt() crazy";2014-01-22T15:31:47Z;2014-08-18T16:00:50Z
47;MDU6SXNzdWUyNjIyMjQ4MQ==;{'totalCount': 1};For objects, explain `writable`/`configurable` and `Object.seal()/freeze()`;2014-01-24T06:46:05Z;2014-03-26T07:14:00Z
48;MDU6SXNzdWUyNjU2OTU2OQ==;{'totalCount': 0};"""types & grammar"": cover stuff like `(i++)`";2014-01-30T01:47:38Z;2014-08-31T07:23:34Z
49;MDU6SXNzdWUyNjYxOTcwNg==;{'totalCount': 0};"""types & grammar"": cover when toString() and valueOf() are implicitly called";2014-01-30T18:19:21Z;2014-08-16T07:37:13Z
50;MDU6SXNzdWUyNjgwNDM1Ng==;{'totalCount': 1};"""types & grammar"": cover everything in this quiz";2014-02-03T14:03:07Z;2014-09-01T18:34:08Z
52;MDU6SXNzdWUyNzIyODE2MA==;{'totalCount': 1};"Ch4 ""Scope & Closures"": add discussion of functions in block scopes";2014-02-09T18:48:06Z;2014-02-27T05:13:13Z
54;MDU6SXNzdWUyNzM2MzcxNw==;{'totalCount': 0};"""types & grammar"": cover what `&&` and `||` operators ACTUALLY do";2014-02-11T16:46:56Z;2014-08-25T01:03:13Z
55;MDU6SXNzdWUyNzUyNTQ3Nw==;{'totalCount': 0};"""types & grammar"": mention falsy objects";2014-02-13T15:23:20Z;2014-08-15T20:16:50Z
56;MDU6SXNzdWUyNzU0NDI2MA==;{'totalCount': 1};"for ""scope & closures"", point out that `let` declarations DON'T hoist!";2014-02-13T19:18:45Z;2014-02-27T04:51:26Z
