number;id;comments;title;createdAt;closedAt
1;MDU6SXNzdWUxODk4NTY5;{'totalCount': 1};Certain animations causing scrollbars in Firefox;2011-10-13T09:26:48Z;2011-12-08T15:18:05Z
2;MDU6SXNzdWUxODk4NTgw;{'totalCount': 3};Naming conventions;2011-10-13T09:28:28Z;2011-10-21T05:56:11Z
3;MDU6SXNzdWUxODk4NjE2;{'totalCount': 4};Test page doesn't replay animations;2011-10-13T09:32:05Z;2012-04-19T08:34:46Z
4;MDU6SXNzdWUxOTAwMDQ3;{'totalCount': 10};split animations into different files;2011-10-13T13:21:52Z;2011-10-14T12:53:01Z
5;MDU6SXNzdWUxOTAwMDYw;{'totalCount': 4};custom build tool;2011-10-13T13:23:57Z;2011-10-14T12:53:47Z
6;MDU6SXNzdWUxOTAwMjQ3;{'totalCount': 3};move project page to github;2011-10-13T13:48:01Z;2011-10-14T14:10:20Z
7;MDU6SXNzdWUxOTAxMjk2;{'totalCount': 4};namespace classes;2011-10-13T15:27:40Z;2011-11-04T11:41:21Z
10;MDU6SXNzdWUxOTMxMDE1;{'totalCount': 1};That word. I do not think it means what you think it means.;2011-10-17T17:09:00Z;2011-10-17T18:42:50Z
11;MDU6SXNzdWUxOTQxMTEw;{'totalCount': 15};Android animation issues;2011-10-18T13:26:14Z;2012-04-19T08:34:20Z
12;MDU6SXNzdWUyMDA2NTUy;{'totalCount': 4};Add -o- prefixes;2011-10-20T16:24:20Z;2011-10-20T18:18:19Z
15;MDU6SXNzdWUyMDExMTI3;{'totalCount': 12};Animation not working on Localhost;2011-10-21T00:19:48Z;2011-11-12T10:28:52Z
16;MDU6SXNzdWUyMDEyMjg2;{'totalCount': 11};Demo page seems busted in recent Chrome builds;2011-10-21T04:40:04Z;2012-04-19T08:33:35Z
17;MDU6SXNzdWUyMDEzNTg1;{'totalCount': 1};Blurred/pixelated text when zooming animated elements on iOS;2011-10-21T09:09:35Z;2012-04-19T08:33:01Z
18;MDU6SXNzdWUyMDcxMTQ5;{'totalCount': 4};Page redraw on iPad running iOS 4.;2011-10-27T18:35:47Z;2011-10-28T09:41:51Z
19;MDU6SXNzdWUyMjg5Mjgx;{'totalCount': 3};animate.css breaks subpixel anti-aliasing in webkit;2011-11-19T18:30:42Z;2012-04-19T08:32:39Z
20;MDU6SXNzdWUyNDY4NjY1;{'totalCount': 4};Elements show up again after using Exit Effects;2011-12-06T22:52:18Z;2011-12-06T23:08:10Z
21;MDU6SXNzdWUyNDc2NjQ0;{'totalCount': 4};How to use it for real apps;2011-12-07T16:38:02Z;2012-04-19T08:36:40Z
22;MDU6SXNzdWUzMDgwODkz;{'totalCount': 3};Create a LESS version;2012-02-03T10:01:12Z;2012-02-03T11:17:07Z
23;MDU6SXNzdWUzNDE2MjUw;{'totalCount': 3};the shorthand can't work;2012-02-28T10:30:38Z;2012-02-29T11:16:35Z
24;MDU6SXNzdWUzOTQ3MTY0;{'totalCount': 2};what is about hardware acceleration?;2012-04-03T15:30:03Z;2012-04-04T15:41:34Z
25;MDU6SXNzdWU0MTIyNDk5;{'totalCount': 3};Breaking z-index for pseudo elements;2012-04-15T09:03:50Z;2013-04-14T13:41:08Z
26;MDU6SXNzdWU0MjExMTAy;{'totalCount': 3};"Breaks position:fixed; in Chrome and Safari";2012-04-20T14:07:43Z;2012-05-02T05:35:44Z
27;MDU6SXNzdWU0MzEwMjU4;{'totalCount': 1};Question: anyway to specify animation properties?;2012-04-26T19:58:15Z;2012-04-26T21:28:43Z
30;MDU6SXNzdWU0NzkwMTM2;{'totalCount': 1};Demonstration page breaks in Opera;2012-05-29T07:45:00Z;2012-05-29T07:50:55Z
31;MDU6SXNzdWU0OTM4NjU2;{'totalCount': 1};Use examples;2012-06-06T21:07:15Z;2012-06-07T07:45:33Z
32;MDU6SXNzdWU0OTkzNTIy;{'totalCount': 1};Compressed Version;2012-06-10T19:50:05Z;2012-06-11T13:52:59Z
33;MDU6SXNzdWU1MjY3MzE2;{'totalCount': 1};missing bounceOutDown class elements in css;2012-06-26T08:32:45Z;2012-06-29T07:39:22Z
35;MDU6SXNzdWU1Mzc0NTE4;{'totalCount': 2};I think for some animations, a complementary style is needed to set the initial transform values;2012-07-01T14:21:18Z;2012-07-02T10:56:19Z
36;MDU6SXNzdWU1NDE3NzQz;{'totalCount': 8};Blurring Text;2012-07-03T22:00:29Z;2013-01-28T04:56:40Z
37;MDU6SXNzdWU1NjA4MjQ5;{'totalCount': 2};Animations that change opacity, need the final opacity declared on the last key frame too;2012-07-13T16:28:37Z;2012-07-19T05:33:53Z
39;MDU6SXNzdWU1NzUxMzQ2;{'totalCount': 1};Chrome text rendering bug during animations;2012-07-21T06:27:07Z;2012-10-02T17:24:24Z
41;MDU6SXNzdWU2MDcxNDUw;{'totalCount': 7};Browser support ?;2012-08-07T09:00:32Z;2012-08-22T15:52:48Z
42;MDU6SXNzdWU2MTQyMzYz;{'totalCount': 3};thoughts on naming;2012-08-10T02:39:01Z;2012-10-02T17:04:20Z
43;MDU6SXNzdWU2MjA1MTEz;{'totalCount': 1};Integration with jQuery Dialog;2012-08-13T23:38:05Z;2012-08-22T15:49:40Z
44;MDU6SXNzdWU2MjgyNTcx;{'totalCount': 1};Flipping 'hinge' effect.;2012-08-17T06:00:22Z;2012-08-22T15:51:19Z
