number;id;comments;title;createdAt;closedAt
5;MDU6SXNzdWUzNzc0NTM3OQ==;{'totalCount': 2};Node.js a programming language?;2014-07-13T17:13:17Z;2014-07-13T22:34:09Z
20;MDU6SXNzdWUzODkwMjY1OA==;{'totalCount': 1};Have you considered breaking + regrouping Miscellaneous section?;2014-07-28T15:40:44Z;2014-07-28T23:31:26Z
33;MDU6SXNzdWU0MjYwNjY2Nw==;{'totalCount': 1};Awesome Radio;2014-09-12T08:23:55Z;2014-09-14T16:18:49Z
51;MDU6SXNzdWU1MDU2OTI4MA==;{'totalCount': 1};Suggestion;2014-12-01T20:17:27Z;2014-12-02T09:57:14Z
73;MDU6SXNzdWU1NDYzMjE3Mg==;{'totalCount': 2};Suggestion.;2015-01-16T22:20:18Z;2015-01-17T07:53:24Z
107;MDU6SXNzdWU2Njg3Nzk3NA==;{'totalCount': 1};AwesomeOpenSource;2015-04-07T13:08:23Z;2015-04-08T05:24:06Z
112;MDU6SXNzdWU3MTk4OTcxMQ==;{'totalCount': 1};Arrange the lists in alphabetical Order.;2015-04-29T21:06:30Z;2015-04-29T21:09:00Z
114;MDU6SXNzdWU3Mjc3NTU1MQ==;{'totalCount': 0};"Underscore character in front of the ""Basics"" section under Haskell";2015-05-03T08:58:43Z;2015-05-03T09:00:40Z
118;MDU6SXNzdWU3MzQ5NTc4NA==;{'totalCount': 4};"Please add the list of ""Open Source Clones of Popular Games""";2015-05-06T02:50:29Z;2015-05-11T15:39:42Z
128;MDU6SXNzdWU3NzAzMTQwMg==;{'totalCount': 1};List of useful Git Hook and .gitignore files;2015-05-16T12:44:40Z;2015-05-16T14:53:15Z
129;MDU6SXNzdWU3NzAzMzUzMg==;{'totalCount': 1};O'Reilly Media Inc;2015-05-16T12:59:49Z;2015-05-16T14:51:48Z
130;MDU6SXNzdWU3NzM1OTI5OQ==;{'totalCount': 6};you dont know js;2015-05-17T17:58:59Z;2015-05-17T18:05:10Z
138;MDU6SXNzdWU3ODI2MTk0OA==;{'totalCount': 1};"Add ""Mad Science Modules""";2015-05-19T21:43:04Z;2015-05-19T21:46:31Z
143;MDU6SXNzdWU3ODY0MjUyMA==;{'totalCount': 13};More categories;2015-05-20T18:42:58Z;2015-06-22T23:50:10Z
147;MDU6SXNzdWU3OTAxMTM0MQ==;{'totalCount': 2};Add Regex;2015-05-21T14:12:03Z;2015-05-21T16:12:13Z
151;MDU6SXNzdWU3OTM4ODg0Ng==;{'totalCount': 2};Suggestion;2015-05-22T10:05:00Z;2015-05-22T13:43:43Z
153;MDU6SXNzdWU3OTU4MzgwNQ==;{'totalCount': 18};Local awesome lists;2015-05-22T19:46:05Z;2019-02-26T19:40:23Z
157;MDU6SXNzdWU4MDU5OTk2OQ==;{'totalCount': 3};Consider merging with bayandin/awesome-awesomeness;2015-05-25T17:01:42Z;2015-06-07T15:39:03Z
167;MDU6SXNzdWU4Mjk2MDk3Mg==;{'totalCount': 3};awesome-c no longer maintained on GitHub;2015-05-31T01:05:43Z;2015-05-31T02:20:51Z
177;MDU6SXNzdWU4NDMwMjUzMw==;{'totalCount': 5};Organizing the michellaneous category alphabetically;2015-06-03T01:42:24Z;2015-06-03T09:31:56Z
184;MDU6SXNzdWU4NTkyMjE2OQ==;{'totalCount': 1};Remove git-cheat-sheet and github-cheat-sheet?;2015-06-07T17:39:31Z;2015-06-07T17:52:43Z
187;MDU6SXNzdWU4NzcyNjUyMA==;{'totalCount': 4};Shouldn't Git and GitHub cheatsheets go to Development category?;2015-06-12T13:19:36Z;2015-06-12T18:12:50Z
188;MDU6SXNzdWU4NzcyNzg2NQ==;{'totalCount': 4};Linux resources?;2015-06-12T13:23:40Z;2015-06-23T00:05:22Z
200;MDU6SXNzdWU5MDMyMDM2NA==;{'totalCount': 2};Awesome Vanilla Javascript;2015-06-23T08:14:16Z;2015-06-23T10:27:06Z
