number;id;comments;title;createdAt;closedAt
2;MDU6SXNzdWUxNDQ2Mzk4;{'totalCount': 1};Use a simpler clearfix;2011-08-19T19:41:59Z;2011-08-20T03:21:31Z
4;MDU6SXNzdWUxNDQ2Njc2;{'totalCount': 8};Why use `filter` if you don’t support modern browsers anyway?;2011-08-19T20:06:48Z;2011-08-23T04:32:44Z
5;MDU6SXNzdWUxNDQ3NjA1;{'totalCount': 1};<address /> is used incorrectly.;2011-08-19T21:45:36Z;2011-08-19T22:45:52Z
6;MDU6SXNzdWUxNDQ3NjUy;{'totalCount': 3};Lacking a list of supported browsers;2011-08-19T21:53:19Z;2011-08-21T04:24:06Z
7;MDU6SXNzdWUxNDQ3NzIz;{'totalCount': 3};Text area resizing issue in Firefox 5 on Linux;2011-08-19T22:08:16Z;2011-08-20T03:39:02Z
9;MDU6SXNzdWUxNDQ4MTY4;{'totalCount': 1};Simplification for table header generated-content arrow;2011-08-19T23:43:41Z;2011-08-20T02:53:21Z
10;MDU6SXNzdWUxNDQ4Mjc4;{'totalCount': 0};Malformed linear gradients for .btn;2011-08-20T00:19:03Z;2011-08-22T16:34:40Z
11;MDU6SXNzdWUxNDQ4MzQ1;{'totalCount': 4};Firefox doesn't apply .btn line-height to submit `input`;2011-08-20T00:41:41Z;2011-08-26T06:19:29Z
13;MDU6SXNzdWUxNDQ4NDU1;{'totalCount': 1};documentation error: small versus cite;2011-08-20T01:29:17Z;2011-08-20T02:43:06Z
14;MDU6SXNzdWUxNDQ4NjI0;{'totalCount': 7};Actual detailed documentation;2011-08-20T03:01:58Z;2011-09-10T23:38:53Z
15;MDU6SXNzdWUxNDQ4ODEx;{'totalCount': 11};Give some love to IE7-8;2011-08-20T04:59:07Z;2011-08-22T18:40:49Z
17;MDU6SXNzdWUxNDQ5NDI2;{'totalCount': 4};Lacking support for HTML5 input types;2011-08-20T11:38:34Z;2011-09-02T22:17:13Z
18;MDU6SXNzdWUxNDQ5NDI5;{'totalCount': 1};Add support for various HTML5 input types;2011-08-20T11:41:34Z;2011-08-20T11:42:58Z
19;MDU6SXNzdWUxNDQ5NTE0;{'totalCount': 1};Fields with errors look ugly in stacked forms;2011-08-20T12:31:09Z;2011-08-21T07:13:03Z
20;MDU6SXNzdWUxNDQ5NjMz;{'totalCount': 11};Sass Counterpart;2011-08-20T13:25:37Z;2011-08-20T20:53:05Z
22;MDU6SXNzdWUxNDUwNzE1;{'totalCount': 1};Incorrect background-clip values;2011-08-20T18:43:04Z;2011-08-21T06:47:51Z
23;MDU6SXNzdWUxNDUwNzgx;{'totalCount': 2};Bootstarp ToolTips script;2011-08-20T18:59:50Z;2011-08-20T20:54:23Z
24;MDU6SXNzdWUxNDUwNzg2;{'totalCount': 1};Updated clearfix;2011-08-20T19:03:18Z;2011-08-20T20:48:40Z
25;MDU6SXNzdWUxNDUxMDA0;{'totalCount': 3};Current docs page contains incorrect information re. typographic elements;2011-08-20T20:28:41Z;2011-08-21T06:27:19Z
29;MDU6SXNzdWUxNDUxNTM3;{'totalCount': 1};Stray </ul> in docs;2011-08-21T00:21:50Z;2011-08-21T04:25:45Z
31;MDU6SXNzdWUxNDUxNTc4;{'totalCount': 1};Accidentally nested rows;2011-08-21T00:41:42Z;2011-08-21T06:40:41Z
32;MDU6SXNzdWUxNDUxNzkw;{'totalCount': 10};Nav Disappears in Chrome;2011-08-21T03:17:43Z;2011-09-03T06:29:29Z
33;MDU6SXNzdWUxNDUxODIx;{'totalCount': 16};Dropdown on nav bar doesn't drop down on click;2011-08-21T03:49:35Z;2011-08-21T03:52:57Z
34;MDU6SXNzdWUxNDUyMDQx;{'totalCount': 1};Bold links aren't bold;2011-08-21T06:07:42Z;2011-08-21T06:45:23Z
36;MDU6SXNzdWUxNDUyNTAz;{'totalCount': 3};Append checkbox to password input;2011-08-21T11:11:06Z;2011-08-23T04:51:53Z
38;MDU6SXNzdWUxNDU0MDIw;{'totalCount': 12};Dropdown: fix for IE7/8 dropdown & modified JS;2011-08-21T20:47:14Z;2011-08-22T20:19:09Z
39;MDU6SXNzdWUxNDU0MTQ0;{'totalCount': 1};Compass;2011-08-21T21:26:14Z;2011-08-21T21:39:15Z
41;MDU6SXNzdWUxNDU0NDEz;{'totalCount': 1};Alerts don't close on click?;2011-08-21T23:01:05Z;2011-08-22T00:46:21Z
42;MDU6SXNzdWUxNDU0NjMy;{'totalCount': 3};Fix for disabled buttons in IE8;2011-08-22T00:44:16Z;2011-08-22T01:12:54Z
43;MDU6SXNzdWUxNDU0NzMy;{'totalCount': 16};Include Example JavaScript;2011-08-22T01:21:53Z;2011-09-09T06:11:07Z
