number;id;comments;title;createdAt;closedAt
5;MDU6SXNzdWUxODE0Mjk0MzM=;{'totalCount': 1};License;2016-10-06T14:23:38Z;2016-10-06T21:31:08Z
7;MDU6SXNzdWUxODE0OTE4MTg=;{'totalCount': 4};Did you end up at Google;2016-10-06T18:33:21Z;2016-10-06T21:31:01Z
8;MDU6SXNzdWUxODE1MDA1NzI=;{'totalCount': 8};Translation to Brazilian Portuguese;2016-10-06T19:10:47Z;2016-10-07T17:46:56Z
13;MDU6SXNzdWUxODE1ODMxMzQ=;{'totalCount': 6};Java;2016-10-07T04:27:41Z;2016-10-07T17:46:39Z
21;MDU6SXNzdWUxODE4MDkzMjg=;{'totalCount': 1};Add Google's Own guide for Technical Development;2016-10-08T06:56:00Z;2016-10-08T17:29:49Z
24;MDU6SXNzdWUxODE4NzY2MzU=;{'totalCount': 3};Made by Google Announcement video made private;2016-10-09T09:21:20Z;2016-10-09T17:08:45Z
25;MDU6SXNzdWUxODE4ODYwNDk=;{'totalCount': 1};Add Computer Course Resources;2016-10-09T13:09:24Z;2016-10-09T17:22:18Z
26;MDU6SXNzdWUxODE4OTAzMDY=;{'totalCount': 1};How floating point numbers are stored;2016-10-09T14:39:09Z;2016-10-09T18:07:04Z
30;MDU6SXNzdWUxODIxMzA0Nzk=;{'totalCount': 9};Problem with lynda.com;2016-10-10T22:28:24Z;2016-10-15T16:56:17Z
33;MDU6SXNzdWUxODIzMzY4ODE=;{'totalCount': 6};Networking and Design Patterns shouldn't be optional.;2016-10-11T18:21:29Z;2016-11-23T17:29:33Z
39;MDU6SXNzdWUxODMyMjAwNzA=;{'totalCount': 30};Translations are welcome;2016-10-15T16:54:41Z;2017-01-06T18:16:10Z
40;MDU6SXNzdWUxODMyMjA1NDM=;{'totalCount': 4};Please add free and always-available public video sources;2016-10-15T17:03:09Z;2017-04-13T03:46:33Z
54;MDU6SXNzdWUxODQ2ODc2Nzc=;{'totalCount': 2};For flashcards I recommended anki;2016-10-23T12:36:47Z;2016-10-23T17:38:37Z
60;MDU6SXNzdWUxODY3Njc2OTE=;{'totalCount': 0};Google ;2016-11-02T10:48:26Z;2016-11-02T16:28:04Z
64;MDU6SXNzdWUxOTEyMjc4MzQ=;{'totalCount': 1};Use awesome_bot with Travis CI for verify links;2016-11-23T09:58:03Z;2016-11-23T17:28:17Z
70;MDU6SXNzdWUxOTU5ODg4NTc=;{'totalCount': 1};Please add geeksforgeeks.org;2016-12-16T06:17:57Z;2016-12-16T21:05:44Z
73;MDU6SXNzdWUxOTYzODg5Mzg=;{'totalCount': 5};My Getting Started with DigitalOcean Guide;2016-12-19T11:15:33Z;2016-12-19T15:27:38Z
74;MDU6SXNzdWUxOTY1ODg2Njk=;{'totalCount': 2};I appreciate what you're doing, but this seems absurd;2016-12-20T05:19:34Z;2016-12-20T17:37:14Z
80;MDU6SXNzdWUxOTY5OTI1Njg=;{'totalCount': 16};Translation: Spanish;2016-12-21T17:44:42Z;2017-06-04T17:24:31Z
81;MDU6SXNzdWUxOTY5OTI2NDI=;{'totalCount': 28};Translation: Hindi;2016-12-21T17:45:04Z;
82;MDU6SXNzdWUxOTcwNTk0MTU=;{'totalCount': 5};Hebrew Translation;2016-12-21T23:33:26Z;
87;MDU6SXNzdWUxOTczMjM4NjA=;{'totalCount': 57};Translation: Russian;2016-12-23T07:20:24Z;
89;MDU6SXNzdWUxOTczNjMyNjY=;{'totalCount': 14};Translation : French;2016-12-23T12:41:07Z;
90;MDU6SXNzdWUxOTc0Mjg0Njg=;{'totalCount': 34};Translation: Turkish ;2016-12-23T21:33:03Z;
92;MDU6SXNzdWUxOTc0ODM0MjY=;{'totalCount': 15};Translation: Vietnamese;2016-12-25T01:21:05Z;
96;MDU6SXNzdWUxOTc4NTYwOTk=;{'totalCount': 1};Broken link;2016-12-28T13:49:03Z;2016-12-28T18:13:06Z
97;MDU6SXNzdWUxOTgwNDM3MTA=;{'totalCount': 2};Moving translations;2016-12-29T17:46:52Z;
98;MDU6SXNzdWUxOTgwNjIwOTM=;{'totalCount': 14};Translations: Arabic ;2016-12-29T20:11:31Z;
99;MDU6SXNzdWUxOTgxMDExODc=;{'totalCount': 0};Translation: Portuguese;2016-12-30T03:48:48Z;2016-12-30T03:56:09Z
101;MDU6SXNzdWUxOTgxODAxOTI=;{'totalCount': 13};Translation: Bahasa Indonesia;2016-12-30T18:33:14Z;2017-02-13T17:52:32Z
104;MDU6SXNzdWUxOTgyNjI1MDQ=;{'totalCount': 4};Dynamic Programming is important!;2017-01-01T09:53:24Z;2017-01-02T04:37:54Z
106;MDU6SXNzdWUxOTgyOTc5MzU=;{'totalCount': 6};Translation: Ukrainian;2017-01-02T05:51:17Z;
113;MDU6SXNzdWUxOTg0MjAwMDI=;{'totalCount': 4};Translation: Brazilian Portuguese;2017-01-03T07:03:17Z;2017-10-13T04:08:15Z
117;MDU6SXNzdWUxOTg3MjcxNjI=;{'totalCount': 10};Translation : Telugu;2017-01-04T15:00:16Z;
118;MDU6SXNzdWUxOTg4NDc0OTQ=;{'totalCount': 30};Translation : Korean;2017-01-05T00:36:32Z;
122;MDU6SXNzdWUxOTg5OTI2MTA=;{'totalCount': 2};Translation: Polish;2017-01-05T16:09:37Z;2020-04-09T16:13:30Z
124;MDU6SXNzdWUxOTkxODc5NDE=;{'totalCount': 2};Broken link;2017-01-06T12:36:49Z;2017-01-06T18:14:42Z
125;MDU6SXNzdWUxOTkyNTU4NTc=;{'totalCount': 0};How to Translate;2017-01-06T18:20:54Z;
130;MDU6SXNzdWUxOTk5NTM1MTI=;{'totalCount': 0};A little bad news. I didn';2017-01-10T22:37:27Z;2017-01-10T22:37:42Z
131;MDU6SXNzdWUxOTk5NTQ3OTM=;{'totalCount': 20};A little bad news. I didn't get hired.;2017-01-10T22:43:42Z;2017-01-27T18:35:40Z
135;MDU6SXNzdWUyMDA3MzM2MTE=;{'totalCount': 1};Translation: German;2017-01-13T21:21:21Z;2017-10-25T14:17:28Z
140;MDU6SXNzdWUyMDIzODE1NDg=;{'totalCount': 4};Translation: Urdu;2017-01-22T13:03:00Z;2020-04-28T10:03:49Z
156;MDU6SXNzdWUyMTA5ODcxNjQ=;{'totalCount': 7};Translation: Thai;2017-03-01T05:57:36Z;
166;MDU6SXNzdWUyMTM3MzMxMzg=;{'totalCount': 10};Translation: Greek;2017-03-13T10:58:10Z;
169;MDU6SXNzdWUyMTQ3Nzk1MTA=;{'totalCount': 7};Call from Google;2017-03-16T17:23:47Z;2017-03-17T18:36:46Z
170;MDU6SXNzdWUyMTUwNzk1NzQ=;{'totalCount': 1};Translation: Italian;2017-03-17T18:01:17Z;
172;MDU6SXNzdWUyMTUyMjMwNjQ=;{'totalCount': 3};1441 linter warnings for README.md;2017-03-18T21:30:18Z;2017-03-19T18:34:49Z
174;MDU6SXNzdWUyMTUyODgwMzc=;{'totalCount': 2};System Design Primer?;2017-03-19T19:32:02Z;2017-04-04T03:24:00Z
182;MDU6SXNzdWUyMTg5NTcwOTM=;{'totalCount': 12};Amazon interview experience;2017-04-03T14:45:49Z;2017-05-06T17:16:08Z
183;MDU6SXNzdWUyMTg5ODg1MDE=;{'totalCount': 1};Interview Experience Request;2017-04-03T16:24:18Z;2017-04-12T07:40:18Z
184;MDU6SXNzdWUyMjA2MjAyMzA=;{'totalCount': 1};Regarding remove Implementation in the arrays;2017-04-10T11:51:04Z;2017-04-13T04:08:46Z
186;MDU6SXNzdWUyMjEyMzY3MTM=;{'totalCount': 10};Translation : Persian;2017-04-12T11:48:26Z;
195;MDU6SXNzdWUyMjM2MDk0NDk=;{'totalCount': 1};"Add ""see also"" links to standard libraries";2017-04-23T03:25:11Z;2017-05-29T18:08:51Z
202;MDU6SXNzdWUyMjY2NjUxNDE=;{'totalCount': 1};"URL for ""What Every Programmer Should Know About Memory"" incorrect in README";2017-05-05T19:08:36Z;2017-05-06T17:14:48Z
209;MDU6SXNzdWUyMzE3Nzk4MDg=;{'totalCount': 2};video does not exist;2017-05-27T06:25:10Z;2017-05-29T18:08:34Z
211;MDU6SXNzdWUyMzM0NDU3ODU=;{'totalCount': 1};Link to private YouTube video on linked lists.;2017-06-04T17:00:50Z;2017-06-04T17:32:07Z
219;MDU6SXNzdWUyMzgxMTI1MTQ=;{'totalCount': 12};CS:61B Videos;2017-06-23T11:10:43Z;2017-07-16T04:10:05Z
229;MDU6SXNzdWUyNDE0Nzk0Njg=;{'totalCount': 1};The Daily Plan should be above Prerequisite Knowledge in Table of Contents section.;2017-07-08T20:53:15Z;2017-07-09T18:24:37Z
239;MDU6SXNzdWUyNTE0NzYxNDE=;{'totalCount': 9};Translation : Malayalam;2017-08-20T09:03:46Z;
241;MDU6SXNzdWUyNTMwODcwOTI=;{'totalCount': 1};How to use it section?;2017-08-26T11:55:24Z;2017-09-09T17:45:03Z
243;MDU6SXNzdWUyNTU0Njg1NzY=;{'totalCount': 7};Need to update? Translation: Chinese;2017-09-06T03:18:54Z;2018-03-19T14:05:18Z
253;MDU6SXNzdWUyNjAwNjg4MjU=;{'totalCount': 1};Half.com is dead;2017-09-24T08:40:17Z;2017-09-24T17:22:11Z
257;MDU6SXNzdWUyNjE4ODc3NTk=;{'totalCount': 5};Translation: Japanese;2017-10-01T02:58:17Z;
259;MDU6SXNzdWUyNjI2NjQyMTE=;{'totalCount': 2};Translation: Bangla;2017-10-04T04:50:55Z;
271;MDU6SXNzdWUyNzE0MDIyODI=;{'totalCount': 1};very good ;2017-11-06T09:05:43Z;2017-11-07T03:17:51Z
275;MDU6SXNzdWUyNzI5MzgzMTM=;{'totalCount': 16};How many years I need to finish all of this stuff?;2017-11-10T13:50:13Z;2020-02-12T06:06:32Z
277;MDU6SXNzdWUyNzY4MzUxNjY=;{'totalCount': 2};From where to learn SQL Javascript HTML, CSS, and other front-end technologies?;2017-11-26T16:00:33Z;2017-11-28T06:26:55Z
279;MDU6SXNzdWUyNzg2OTEyNzY=;{'totalCount': 1};New Slack Study group;2017-12-02T15:16:11Z;2018-03-18T09:37:01Z
280;MDU6SXNzdWUyNzg4MDUwOTU=;{'totalCount': 1};Playlist under Process & Threads doesn't exist anymore;2017-12-03T18:09:42Z;2020-02-12T06:07:49Z
282;MDU6SXNzdWUyODA4NDE2Mjk=;{'totalCount': 2};Clarification of `Implement a Vector` exercise;2017-12-10T20:24:08Z;2017-12-13T19:27:28Z
286;MDU6SXNzdWUyODIzNjQyMjg=;{'totalCount': 3};Translation: Burmese;2017-12-15T09:18:13Z;
294;MDU6SXNzdWUyODY1MjY2MDg=;{'totalCount': 0};Translation: Russian (v.2);2018-01-06T22:43:16Z;2018-01-07T12:24:50Z
307;MDU6SXNzdWUyOTg1Njc0MDg=;{'totalCount': 2};Translation: Traditional Chinese;2018-02-20T11:56:34Z;
308;MDU6SXNzdWUyOTkyMTU1MTY=;{'totalCount': 1};Link for Discrete Math (CS70) Lecture is Expired;2018-02-22T04:09:19Z;2018-02-22T17:16:41Z
312;MDU6SXNzdWUzMDMzNjY1MzU=;{'totalCount': 2};Youtube video on garbage collection doesn't exist anymore;2018-03-08T06:03:12Z;2020-02-12T06:08:17Z
316;MDU6SXNzdWUzMTIyMDEwMjg=;{'totalCount': 1};Video under Processes and Threads Doesn't Exist.;2018-04-07T12:00:53Z;2018-10-06T17:41:35Z
318;MDU6SXNzdWUzMTM4MTI0NjA=;{'totalCount': 0};Removing Operational System generated files (DS_Store,Thumbs.db..);2018-04-12T17:03:45Z;2018-04-19T03:38:00Z
325;MDU6SXNzdWUzMTk0MTMyOTQ=;{'totalCount': 1};A better video on how CPU executes program;2018-05-02T05:22:28Z;2018-10-09T02:47:11Z
328;MDU6SXNzdWUzMjA2ODI0Njc=;{'totalCount': 1};Translation to Kannada;2018-05-07T05:57:10Z;2018-05-10T04:33:47Z
334;MDU6SXNzdWUzMjU1ODUyMDg=;{'totalCount': 0};"""Tree Height Remark (video)"" under ""Heap / Priority Queue / Binary Heap""";2018-05-23T07:40:25Z;2020-02-12T06:05:34Z
344;MDU6SXNzdWUzMzQ2ODMzNzE=;{'totalCount': 4};"Question about the ""How to use it"" section";2018-06-21T22:43:20Z;2018-06-24T16:42:38Z
348;MDU6SXNzdWUzMzU0ODc1ODg=;{'totalCount': 0};Fix typos in README.md;2018-06-25T16:52:11Z;2018-06-26T04:31:48Z
358;MDU6SXNzdWUzNjAwNDc5ODM=;{'totalCount': 1};Question about Daily Plan;2018-09-13T20:10:47Z;2018-10-05T02:58:04Z
368;MDU6SXNzdWUzNzE2NzI3MDI=;{'totalCount': 3};Algorithms Sedgewick and Wayne (Video resource);2018-10-18T19:16:20Z;2018-10-23T04:30:18Z
374;MDU6SXNzdWUzNzM2NTI4Mzg=;{'totalCount': 0};Hash Table section probably incorrect link;2018-10-24T19:59:22Z;2020-02-12T06:06:06Z
383;MDU6SXNzdWUzNzgzODU4MDA=;{'totalCount': 2};So the algorithm is very important！;2018-11-07T17:12:47Z;2018-11-08T02:37:05Z
384;MDU6SXNzdWUzNzk0NTMwODU=;{'totalCount': 2};Jeff H Sipe YouTube channel is useful;2018-11-10T19:23:05Z;2020-02-12T06:06:45Z
385;MDU6SXNzdWUzNzk0NzMzMTk=;{'totalCount': 5};Raft consensus protocol;2018-11-10T23:44:50Z;2019-02-02T18:59:56Z
386;MDU6SXNzdWUzNzk1NjU4MjQ=;{'totalCount': 0};Broken Links to Bit Twiddler;2018-11-11T21:35:29Z;2018-11-19T00:34:45Z
396;MDU6SXNzdWUzODY0NjkyMDI=;{'totalCount': 4};Image not found : Cannot proxy the given URL;2018-12-01T15:42:47Z;2018-12-16T21:20:24Z
398;MDU6SXNzdWUzODY1MzgwNDg=;{'totalCount': 1};Broken link;2018-12-02T08:15:09Z;2018-12-16T21:19:40Z
400;MDU6SXNzdWUzOTE4MDU4MTU=;{'totalCount': 2};Tail Recursion Youtube Video Link Broken;2018-12-17T17:03:40Z;2020-02-12T06:05:16Z
401;MDU6SXNzdWUzOTQwODY3MDY=;{'totalCount': 1};"YouTube link for ""Zero to Hero (Video)"" for Python is broken.";2018-12-26T05:39:36Z;2018-12-28T04:45:22Z
