number;id;comments;title;createdAt;closedAt
1;MDU6SXNzdWUzNDAwOTM=;{'totalCount': 2};Namespaced event listeners.;2010-09-30T04:24:14Z;2011-02-16T17:54:42Z
2;MDU6SXNzdWUzNDAwOTU=;{'totalCount': 1};Toggling classes.;2010-09-30T04:27:50Z;2010-12-09T23:35:05Z
3;MDU6SXNzdWUzNDAwOTg=;{'totalCount': 1};Transform inclusion/composition.;2010-09-30T04:29:24Z;2010-10-25T00:13:20Z
4;MDU6SXNzdWUzNDAwOTk=;{'totalCount': 5};Prepend node? Append existing? Insert at given location?;2010-09-30T04:30:10Z;2011-02-07T18:26:24Z
5;MDU6SXNzdWUzNDAxMDA=;{'totalCount': 1};Sorting nodes.;2010-09-30T04:30:47Z;2010-11-07T16:34:30Z
6;MDU6SXNzdWUzNDAxMDY=;{'totalCount': 4};Tree traversal.;2010-09-30T04:38:43Z;2011-08-23T01:09:07Z
7;MDU6SXNzdWUzNDAxMTY=;{'totalCount': 0};Arguments and return value for `apply`.;2010-09-30T04:57:18Z;2010-10-25T00:13:20Z
8;MDU6SXNzdWUzNDAxMTc=;{'totalCount': 0};SVG path utilities.;2010-09-30T05:00:59Z;2010-10-25T00:13:59Z
9;MDU6SXNzdWUzNDE2MjM=;{'totalCount': 0};Setting text(null) should clear the text content.;2010-09-30T23:06:04Z;2010-10-25T00:13:59Z
10;MDU6SXNzdWUzNDE2MjQ=;{'totalCount': 0};Set inner HTML.;2010-09-30T23:06:43Z;2010-10-25T00:13:59Z
11;MDU6SXNzdWUzNDg2ODE=;{'totalCount': 1};Transition sub-selection should support delay, duration etc.;2010-10-05T23:24:55Z;2010-10-25T00:13:58Z
12;MDU6SXNzdWUzNzM2Mzk=;{'totalCount': 0};Tick labels.;2010-10-20T22:40:39Z;2010-10-25T00:13:59Z
13;MDU6SXNzdWUzNzU3NDY=;{'totalCount': 1};Deferred vs. immediate transforms.;2010-10-22T00:03:48Z;2010-10-25T00:13:20Z
14;MDU6SXNzdWUzNzczNDE=;{'totalCount': 0};Enter + exit selections are a bit weird.;2010-10-22T22:44:05Z;2010-10-25T00:13:20Z
