number;id;comments;title;createdAt;closedAt
1;MDU6SXNzdWUyMTQ1NDE1NTg=;{'totalCount': 15};Why is PHP involved in a roadmap with a year above 2011;2017-03-15T22:10:15Z;2017-03-16T22:21:11Z
2;MDU6SXNzdWUyMTQ1NDE3OTA=;{'totalCount': 1};Add more routes;2017-03-15T22:11:18Z;2017-03-16T04:53:46Z
3;MDU6SXNzdWUyMTQ1NjQyMjE=;{'totalCount': 2};Missing dev environment;2017-03-16T00:19:08Z;2017-03-16T04:52:31Z
4;MDU6SXNzdWUyMTQ2NzY3MTg=;{'totalCount': 1};Suggestion: Add HTTP protocol to backend track;2017-03-16T11:40:27Z;2017-03-16T11:41:28Z
5;MDU6SXNzdWUyMTQ2Nzk4MzM=;{'totalCount': 9};Can add the text editors, programming environments etc.;2017-03-16T11:54:32Z;2020-01-04T01:16:52Z
6;MDU6SXNzdWUyMTQ4MjMzNTU=;{'totalCount': 2};Need project management tools ;2017-03-16T20:07:14Z;2017-03-23T04:50:25Z
8;MDU6SXNzdWUyMTQ4NzEyMjM=;{'totalCount': 3};memcache vs memcached;2017-03-16T23:50:34Z;2017-03-17T06:17:41Z
9;MDU6SXNzdWUyMTQ4NzE3NzY=;{'totalCount': 0};Add contribution guide;2017-03-16T23:54:34Z;2017-03-17T05:59:23Z
10;MDU6SXNzdWUyMTQ4OTgyNjU=;{'totalCount': 1};What about mobile field? ;2017-03-17T03:26:39Z;2017-03-17T05:53:21Z
11;MDU6SXNzdWUyMTQ5MTEwODY=;{'totalCount': 2};What is drawing tool;2017-03-17T05:26:59Z;2017-03-17T05:51:53Z
12;MDU6SXNzdWUyMTQ5NjMwOTc=;{'totalCount': 3};Debugging tools;2017-03-17T10:25:20Z;2020-01-04T06:45:49Z
13;MDU6SXNzdWUyMTQ5NzA0NDI=;{'totalCount': 1};Missing arrow;2017-03-17T10:57:38Z;2017-03-18T18:02:02Z
15;MDU6SXNzdWUyMTUwMDk1OTU=;{'totalCount': 4};Frontend Roadmap - Add iOS / Android;2017-03-17T13:52:57Z;2017-03-17T15:48:00Z
16;MDU6SXNzdWUyMTUwMzA1MjA=;{'totalCount': 2};Just a bunch of notes;2017-03-17T15:06:13Z;2017-03-17T15:56:33Z
17;MDU6SXNzdWUyMTUxNzg5MDk=;{'totalCount': 1};Why python only as a leaf?;2017-03-18T09:27:44Z;2017-03-18T18:00:29Z
18;MDU6SXNzdWUyMTUxOTg3Mjc=;{'totalCount': 1};experience share for roadmap development;2017-03-18T14:48:23Z;2017-03-18T15:58:48Z
19;MDU6SXNzdWUyMTUyMDQ3MzU=;{'totalCount': 2};Text editors & CLI tools for DevOps;2017-03-18T16:27:35Z;2017-03-18T17:37:01Z
20;MDU6SXNzdWUyMTUyMjgyNzM=;{'totalCount': 1};Add Docker to Backend track;2017-03-18T23:09:22Z;2017-03-19T02:43:29Z
21;MDU6SXNzdWUyMTUyMjgzMjc=;{'totalCount': 2};LXC under DevOps Containers;2017-03-18T23:10:33Z;2017-03-23T04:47:25Z
23;MDU6SXNzdWUyMTUyNTI5ODc=;{'totalCount': 1};Would you consider to create a roadmap for mobile engineer?;2017-03-19T09:49:27Z;2017-03-23T04:35:09Z
24;MDU6SXNzdWUyMTUyNjM3MjY=;{'totalCount': 2};CSS Frameworks;2017-03-19T13:23:41Z;2017-03-23T04:46:41Z
26;MDU6SXNzdWUyMTUyNzk3OTg=;{'totalCount': 9};JavaScript Frameworks;2017-03-19T17:32:20Z;2017-03-23T04:33:04Z
