number;id;comments;title;createdAt;closedAt
5;MDU6SXNzdWUyMDg4MzM1MQ==;{'totalCount': 1};Android books no longer avaliable.;2013-10-11T17:37:32Z;2013-10-15T11:18:14Z
38;MDU6SXNzdWUyMDkwMzQ2Mg==;{'totalCount': 4};Cryptography;2013-10-12T01:44:47Z;2013-10-15T11:18:26Z
47;MDU6SXNzdWUyMDkwOTA1MQ==;{'totalCount': 0};Add John Gabriele's mini Clojure book reference;2013-10-12T10:24:40Z;2013-10-15T11:20:16Z
72;MDU6SXNzdWUyMDkyNTQ4Ng==;{'totalCount': 1};Oracle Pl/SQL Links are dead;2013-10-13T11:49:24Z;2013-10-15T11:21:10Z
100;MDU6SXNzdWUyMDk1ODM2MA==;{'totalCount': 0};Add book about TypeScript;2013-10-14T14:06:13Z;2013-10-15T20:45:09Z
117;MDU6SXNzdWUyMDk5Njg3MQ==;{'totalCount': 1};Internal Links Are Broken On Website;2013-10-15T05:05:54Z;2013-10-15T11:21:44Z
118;MDU6SXNzdWUyMDk5Njk2MA==;{'totalCount': 4};Feature Request: Split up sections;2013-10-15T05:10:11Z;2013-12-30T22:47:17Z
123;MDU6SXNzdWUyMTAxNjAyMg==;{'totalCount': 4};Language section;2013-10-15T13:29:17Z;2013-10-15T13:41:51Z
148;MDU6SXNzdWUyMTA5NDczMA==;{'totalCount': 2};Merge pycrumbs;2013-10-16T17:08:38Z;2013-10-16T17:25:51Z
185;MDU6SXNzdWUyMTI0MDkyMA==;{'totalCount': 4};Delete the manual index, and let pandoc create the table of contents;2013-10-18T19:47:14Z;2014-01-26T15:50:17Z
190;MDU6SXNzdWUyMTI1MzY2Mw==;{'totalCount': 3};use jekyll?;2013-10-19T01:06:17Z;2014-01-26T15:49:11Z
201;MDU6SXNzdWUyMTI3NDU4Mw==;{'totalCount': 1};Add www.edx.org to MOOCs;2013-10-20T06:11:31Z;2013-10-20T09:13:39Z
215;MDU6SXNzdWUyMTI4NTM4MQ==;{'totalCount': 9};Code Bright for Laravel 4 Isn't free?;2013-10-20T19:06:07Z;2013-10-25T21:53:21Z
233;MDU6SXNzdWUyMTM2MDIzNg==;{'totalCount': 2};how to create korean MD File?;2013-10-22T04:11:44Z;2013-10-23T01:48:29Z
341;MDU6SXNzdWUyMjI0NzY0Mw==;{'totalCount': 0};"Books Or Website for ""Hacking""";2013-11-07T06:50:14Z;2013-11-07T09:41:51Z
375;MDU6SXNzdWUyMjY2NDgxNA==;{'totalCount': 1};Language code of Chinese is zh, not ch;2013-11-14T14:13:31Z;2013-11-14T15:55:43Z
379;MDU6SXNzdWUyMjY4ODMwMg==;{'totalCount': 4};Chinese list has english books;2013-11-14T20:04:54Z;2013-12-07T13:37:14Z
395;MDU6SXNzdWUyMjc4NDQ4NQ==;{'totalCount': 1};Highlight titles aimed at children;2013-11-16T20:39:48Z;2014-01-26T15:49:02Z
419;MDU6SXNzdWUyMzIwMjIyNw==;{'totalCount': 1};New incoming;2013-11-24T09:03:12Z;2013-11-29T19:14:43Z
449;MDU6SXNzdWUyMzU1NTYxNQ==;{'totalCount': 3};The two ZeroMQ links point to the page itself.;2013-12-02T07:05:25Z;2013-12-04T10:31:21Z
472;MDU6SXNzdWUyMzk0MDg5MA==;{'totalCount': 3};Dead Link for Git From Bottom Up;2013-12-09T05:05:33Z;2013-12-10T00:28:52Z
489;MDU6SXNzdWUyNDM0NjAyMg==;{'totalCount': 1};HTML&CSS resources;2013-12-16T12:24:26Z;2013-12-16T18:04:50Z
505;MDU6SXNzdWUyNDcxMzkzNQ==;{'totalCount': 6};"""Data Structures and Algorithms: Annotated Reference with Examples"" download link doesn't work";2013-12-23T16:44:31Z;2013-12-26T13:30:06Z
526;MDU6SXNzdWUyNDg0ODE2MA==;{'totalCount': 0};Free web2py book;2013-12-28T16:48:15Z;2013-12-28T19:55:03Z
