number;id;comments;title;createdAt;closedAt
1;MDU6SXNzdWUzMjU1NDgwMDE=;{'totalCount': 3};Translation;2018-05-23T04:47:28Z;2018-05-23T13:30:16Z
6;MDU6SXNzdWUzMjU4OTAwMDg=;{'totalCount': 1};Duplicate Code in peek in Stack.js;2018-05-23T22:04:31Z;2018-05-24T06:11:43Z
7;MDU6SXNzdWUzMjU4OTYwMTM=;{'totalCount': 2};What about rope?;2018-05-23T22:27:25Z;
12;MDU6SXNzdWUzMjYwMTQxNTk=;{'totalCount': 6};A* algorithm?;2018-05-24T08:24:36Z;
13;MDU6SXNzdWUzMjYwMjkxNTk=;{'totalCount': 5};AVL tree does not rebalance after removal;2018-05-24T09:06:22Z;2018-09-24T06:51:02Z
19;MDU6SXNzdWUzMjYzOTA2NTk=;{'totalCount': 1};Quick sort should not allocate extra memory like left / right array.;2018-05-25T05:55:19Z;2018-05-27T20:26:15Z
21;MDU6SXNzdWUzMjY1OTc5NDI=;{'totalCount': 2};automated test suite;2018-05-25T16:58:17Z;2018-05-25T19:04:28Z
22;MDU6SXNzdWUzMjY2MTc5ODc=;{'totalCount': 2};TSP or TPP Algorithm;2018-05-25T18:11:59Z;2018-05-28T12:20:58Z
24;MDU6SXNzdWUzMjY3NDMyODg=;{'totalCount': 6};Workshopper;2018-05-26T14:43:10Z;2018-06-13T05:18:49Z
29;MDU6SXNzdWUzMjcxNzgzODI=;{'totalCount': 3};Add Red Black Tree;2018-05-29T05:53:18Z;2018-06-02T06:04:21Z
30;MDU6SXNzdWUzMjc0NTk3MDE=;{'totalCount': 4};Fibonacci sequences;2018-05-29T19:40:44Z;2018-06-02T06:34:01Z
31;MDU6SXNzdWUzMjc0NjgyMjA=;{'totalCount': 3};Add another section;2018-05-29T20:06:20Z;2018-06-02T09:10:12Z
34;MDU6SXNzdWUzMjc4ODM0NzU=;{'totalCount': 1};Sharing similar effort: algorithms-js;2018-05-30T20:18:21Z;2018-05-31T08:08:57Z
37;MDU6SXNzdWUzMjc5NzM1NzE=;{'totalCount': 1};bug in AVL tree rotateLeftRight and rotateRightLeft;2018-05-31T02:45:31Z;2018-06-02T19:12:17Z
38;MDU6SXNzdWUzMjgxMDY1NTU=;{'totalCount': 2};Implementing Segment tree;2018-05-31T11:48:27Z;2018-06-05T05:49:42Z
40;MDU6SXNzdWUzMjgzNTE5OTg=;{'totalCount': 2};A suggestion about Factorial;2018-06-01T01:45:00Z;2018-06-02T06:41:11Z
41;MDU6SXNzdWUzMjgzNzIxNjU=;{'totalCount': 1};Implementing Binary Indexed Tree;2018-06-01T03:51:33Z;2018-06-06T05:01:31Z
43;MDU6SXNzdWUzMjg1NDg5ODc=;{'totalCount': 1};I'm not sure what this is called or if it belongs here;2018-06-01T14:48:21Z;2018-06-02T09:32:21Z
44;MDU6SXNzdWUzMjg3MTAwNDg=;{'totalCount': 1};Add B-Tree;2018-06-02T03:48:38Z;
48;MDU6SXNzdWUzMjg5MjY5MzU=;{'totalCount': 1};primality test failure;2018-06-04T06:42:23Z;2018-06-05T18:52:07Z
49;MDU6SXNzdWUzMjg5MzczNjc=;{'totalCount': 3};Add Liu Hui's π algorithm;2018-06-04T07:25:42Z;2018-06-12T14:34:38Z
53;MDU6SXNzdWUzMjk0OTE0Mzc=;{'totalCount': 4};Fucking Awesome !;2018-06-05T14:47:33Z;2018-06-05T18:39:23Z
54;MDU6SXNzdWUzMjk3MjcwMzI=;{'totalCount': 1};Z -algorithm;2018-06-06T06:26:24Z;2018-06-21T15:01:55Z
56;MDU6SXNzdWUzMzA2MTE0Mjc=;{'totalCount': 1};Collision resolution in hash-table;2018-06-08T10:50:27Z;2018-06-08T14:00:12Z
57;MDU6SXNzdWUzMzA2Nzc5ODQ=;{'totalCount': 4};What should be returned by the remove method of the BinarySearchTreeNode?;2018-06-08T14:21:14Z;2018-06-13T03:43:01Z
58;MDU6SXNzdWUzMzA4MzUyMjY=;{'totalCount': 1};Combination without repetition algorithm difficult to understand;2018-06-09T00:14:10Z;2018-06-13T04:22:48Z
63;MDU6SXNzdWUzMzE0MzE2MjM=;{'totalCount': 4};knapsack item settings ignores itemsInStock;2018-06-12T04:17:09Z;2018-06-18T12:59:59Z
69;MDU6SXNzdWUzMzI0ODA3NTY=;{'totalCount': 1};removal from linkedlist;2018-06-14T16:42:22Z;2018-06-18T13:14:10Z
70;MDU6SXNzdWUzMzI5NDc3NDU=;{'totalCount': 1};Grouping algorithms for studying;2018-06-16T00:49:26Z;2018-06-18T14:10:17Z
78;MDU6SXNzdWUzMzUyNDkyNzI=;{'totalCount': 1};run repo's class? nodejs not support ES6 import;2018-06-25T03:40:01Z;2018-06-25T10:12:04Z
87;MDU6SXNzdWUzMzc0ODI5MDc=;{'totalCount': 5};Add doubly linked list;2018-07-02T11:39:33Z;2018-07-05T12:47:06Z
89;MDU6SXNzdWUzMzc5NTQyMTQ=;{'totalCount': 13};Translate to russian;2018-07-03T15:40:11Z;
90;MDU6SXNzdWUzMzgxODMyODc=;{'totalCount': 2};Fix errors in grammar and descriptions in README.md;2018-07-04T08:43:41Z;2018-07-04T11:31:21Z
96;MDU6SXNzdWUzNDA1NTU1MzQ=;{'totalCount': 1};Floyd–Warshall algorithm;2018-07-12T09:18:43Z;2018-07-13T14:40:16Z
98;MDU6SXNzdWUzNDA4MjQwNzE=;{'totalCount': 1};removeChild in BinaryTreeNode does not remove parent from child;2018-07-12T22:46:39Z;2018-07-13T14:49:23Z
102;MDU6SXNzdWUzNDMyNzk0ODY=;{'totalCount': 5};rabinKarp seems to miss some matches;2018-07-21T00:13:21Z;2018-07-30T09:56:47Z
103;MDU6SXNzdWUzNDMzMTEwNjE=;{'totalCount': 1};Is Radix Sort an advanced Algorithm?;2018-07-21T08:50:54Z;2018-07-22T14:57:21Z
105;MDU6SXNzdWUzNDM0MDE0Njc=;{'totalCount': 1};Rename `QuickSortInPlace` to `TrueQuickSort` or something similar.;2018-07-22T12:16:19Z;2018-07-24T09:40:12Z
107;MDU6SXNzdWUzNDM5MjAzMTM=;{'totalCount': 2};Translate to korean;2018-07-24T07:40:12Z;2018-07-24T19:34:14Z
108;MDU6SXNzdWUzNDQwODMyMjU=;{'totalCount': 0};Trie - remove words;2018-07-24T15:14:09Z;2018-08-27T13:00:18Z
111;MDU6SXNzdWUzNDQyNzk4Nzk=;{'totalCount': 3};Translate to Polish;2018-07-25T03:33:07Z;2018-07-26T19:14:46Z
119;MDU6SXNzdWUzNDU1NjU3NDc=;{'totalCount': 4};My concern about no classification by Procedural/Imperative and Functional programming Paradigm;2018-07-29T21:52:15Z;
122;MDU6SXNzdWUzNDU3MjE5ODc=;{'totalCount': 2};Wrong description;2018-07-30T11:41:11Z;2018-07-30T12:51:45Z
123;MDU6SXNzdWUzNDU3MjM3NTU=;{'totalCount': 4};Translate to Spanish;2018-07-30T11:46:58Z;2018-08-10T14:38:07Z
129;MDU6SXNzdWUzNDYxMzM3NTM=;{'totalCount': 3};Longest common substring does not handle unicode properly;2018-07-31T10:47:47Z;2018-08-28T04:02:22Z
132;MDU6SXNzdWUzNDY4NzExNzY=;{'totalCount': 1};the picture about Red-Black Tree is not match;2018-08-02T06:03:13Z;2018-08-02T13:45:26Z
143;MDU6SXNzdWUzNDc5ODAxNTI=;{'totalCount': 3};Needs Pseudocode?;2018-08-06T15:48:45Z;2018-08-14T12:49:36Z
