number;id;comments;title;createdAt;closedAt
7;MDU6SXNzdWUxMzk4NjU5MTk=;{'totalCount': 2};Issues while running download_and_preprocess_flowers.sh;2016-03-10T11:52:02Z;2016-03-10T12:00:50Z
8;MDU6SXNzdWUxMzk4NzIwOTM=;{'totalCount': 4};Provide instructions for Bazel build;2016-03-10T12:26:31Z;2016-03-10T16:48:00Z
11;MDU6SXNzdWUxNDAwNjk3Mjc=;{'totalCount': 9};Error while training flower;2016-03-11T02:42:27Z;2016-03-17T04:46:26Z
13;MDU6SXNzdWUxNDA0NzI1MDY=;{'totalCount': 9};inception-v3-model/inception-v3/model.ckpt-157585 corrupted;2016-03-13T10:22:45Z;2016-03-15T14:09:32Z
15;MDU6SXNzdWUxNDA1MzEyOTg=;{'totalCount': 8};Invalid argument: indices[0] = [0,148] is out of bounds: need 0 <= index < [32,6];2016-03-13T21:26:51Z;2016-03-16T15:15:11Z
16;MDU6SXNzdWUxNDEwOTM5NjM=;{'totalCount': 8};Flowers retraining example on inception-v3 diverges (with loss = NaN);2016-03-15T20:49:59Z;2016-04-13T19:46:05Z
17;MDU6SXNzdWUxNDE0NDA2NzQ=;{'totalCount': 2};TypeError: get_variable() got an unexpected keyword argument 'regularizer';2016-03-17T00:26:48Z;2016-03-24T22:40:33Z
18;MDU6SXNzdWUxNDE0OTcwMjA=;{'totalCount': 6};Inception v4 model;2016-03-17T06:46:04Z;2017-02-06T22:47:57Z
23;MDU6SXNzdWUxNDE5NTQ2MzQ=;{'totalCount': 3};VariationalAutoencoderRunner.py (cost= nan);2016-03-18T19:13:43Z;2016-03-19T05:38:41Z
25;MDU6SXNzdWUxNDIwMjUyNjM=;{'totalCount': 1};VariationalAutoencoderRunner.py - Fixed gaussian_sample_size causes incompatible shapes;2016-03-19T04:20:39Z;2016-03-19T06:09:24Z
27;MDU6SXNzdWUxNDIwNjAyOTc=;{'totalCount': 2};"Should ""${FLOWERS_DATA_DIR}$"" be ""${FLOWERS_DATA_DIR}""? ";2016-03-19T13:13:01Z;2016-03-23T00:59:03Z
32;MDU6SXNzdWUxNDM3ODAyOTM=;{'totalCount': 1};"""if grad"" TypeError: Using a `tf.Tensor` as a Python `bool` is not allowed";2016-03-27T06:10:38Z;2016-04-01T02:23:56Z
34;MDU6SXNzdWUxNDQwNjkwMzQ=;{'totalCount': 0};Python3 issue;2016-03-28T20:01:55Z;2016-04-13T02:32:14Z
37;MDU6SXNzdWUxNDQ4NzMxNzQ=;{'totalCount': 4};Inception Slim: Inconsistence between Readme and losses.py;2016-03-31T11:54:40Z;2016-06-17T16:28:24Z
38;MDU6SXNzdWUxNDU1NDAzOTc=;{'totalCount': 6};How to save a graph;2016-04-03T21:06:14Z;2016-06-30T21:58:28Z
46;MDU6SXNzdWUxNDgzNTk2MjQ=;{'totalCount': 0};Can you add license?;2016-04-14T13:21:52Z;2016-04-14T13:22:13Z
47;MDU6SXNzdWUxNDg0OTY4NDk=;{'totalCount': 32};Multi-GPU performance regression with #44;2016-04-14T22:07:39Z;2017-03-03T00:50:17Z
48;MDU6SXNzdWUxNDg2MDQ4Mjg=;{'totalCount': 2};multi gpu got error;2016-04-15T09:13:19Z;2016-07-25T20:34:29Z
50;MDU6SXNzdWUxNDg5NDE4NDU=;{'totalCount': 9};Corrupted output from inception_eval;2016-04-17T11:06:10Z;2016-08-08T17:55:24Z
52;MDU6SXNzdWUxNTAzNzA2Nzg=;{'totalCount': 3};"Errors in script ""download_and_preprocess_flowers.sh"" running on osx";2016-04-22T13:31:50Z;2018-04-15T15:24:27Z
53;MDU6SXNzdWUxNTA2MjI3MDc=;{'totalCount': 2};Better Inception Training?;2016-04-24T04:00:34Z;2016-04-27T18:45:36Z
54;MDU6SXNzdWUxNTEwOTAzNTU=;{'totalCount': 26};[ distribution ] How to use multiple GPU on each replica ?;2016-04-26T09:49:21Z;2018-02-07T23:15:31Z
56;MDU6SXNzdWUxNTEzMTM1MTI=;{'totalCount': 6};Error running multiple workers on one machine which has multiple GPUs;2016-04-27T07:03:20Z;2016-05-04T14:05:10Z
59;MDU6SXNzdWUxNTMyMjgxNzc=;{'totalCount': 2};"bazel-bin/inception/download_and_preprocess_imagenet ""${DATA_DIR}"" in lieu of ""${DATA_DIR}$""?";2016-05-05T13:09:12Z;2016-08-16T17:59:36Z
61;MDU6SXNzdWUxNTM5NDE0NjM=;{'totalCount': 3};Why delete “train_dir” at the beginning of training? ;2016-05-10T07:34:28Z;2016-06-28T00:50:43Z
65;MDU6SXNzdWUxNTQ1NzEyNDA=;{'totalCount': 2};Evaluation of SyntaxNet on whole, unprocessed documents (no gold SBD etc);2016-05-12T20:15:41Z;2016-06-22T14:44:20Z
66;MDU6SXNzdWUxNTQ1ODU4OTA=;{'totalCount': 9};MacOS X: ERROR: Error evaluating WORKSPACE file.;2016-05-12T21:29:13Z;2016-05-17T20:21:57Z
67;MDU6SXNzdWUxNTQ2MDMxMzk=;{'totalCount': 8};AttributeError: 'module' object has no attribute 'load_op_library';2016-05-12T23:25:00Z;2016-06-02T15:11:57Z
69;MDU6SXNzdWUxNTQ2MzA1MTU=;{'totalCount': 2};Build fails with most recent version of Bazel;2016-05-13T04:13:22Z;2016-05-13T04:43:57Z
70;MDU6SXNzdWUxNTQ2MzEzMDI=;{'totalCount': 3};slim RNN;2016-05-13T04:23:20Z;2018-02-07T23:25:58Z
71;MDU6SXNzdWUxNTQ2MzQwNzU=;{'totalCount': 2};"Unable to parse bazel version : invalid literal for int(): ""2b"".";2016-05-13T04:58:16Z;2016-05-14T09:54:13Z
72;MDU6SXNzdWUxNTQ2NTkxMzg=;{'totalCount': 4};[solved] CUDA_ERROR_OUT_OF_MEMORY when distributed training;2016-05-13T08:28:11Z;2016-05-31T11:21:38Z
73;MDU6SXNzdWUxNTQ2Njg5MDQ=;{'totalCount': 2};Sentence to word problem;2016-05-13T09:21:14Z;2016-05-14T09:04:52Z
74;MDU6SXNzdWUxNTQ2ODE2Nzk=;{'totalCount': 1};Repository structure?;2016-05-13T10:29:02Z;2016-06-02T21:53:25Z
75;MDU6SXNzdWUxNTQ3NTk2MTE=;{'totalCount': 8};Error installing on OS X w/ Homebrew GCC 5.3.0;2016-05-13T17:13:07Z;2016-06-22T15:03:17Z
77;MDU6SXNzdWUxNTQ3NzQ4NTA=;{'totalCount': 2};Is there a way to work with SyntaxNet on Windows?;2016-05-13T18:36:54Z;2016-05-14T21:31:10Z
78;MDU6SXNzdWUxNTQ3ODc0NTk=;{'totalCount': 3};Bazel error:  bazel test syntaxnet/... util/utf8/...;2016-05-13T19:49:31Z;2016-05-13T21:25:53Z
79;MDU6SXNzdWUxNTQ3ODgyNzQ=;{'totalCount': 5};Android support?;2016-05-13T19:54:25Z;2016-07-25T20:52:25Z
80;MDU6SXNzdWUxNTQ3OTY3MDM=;{'totalCount': 11};SyntaxNet and Bazel Tests Error [Linux];2016-05-13T20:45:15Z;2016-06-22T15:08:17Z
81;MDU6SXNzdWUxNTQ3OTgzNTQ=;{'totalCount': 1};Need numpy to install;2016-05-13T20:55:13Z;2016-05-17T20:23:23Z
82;MDU6SXNzdWUxNTQ4MzIyNjU=;{'totalCount': 20};Executed 6 out of 12 tests: 6 tests pass and 6 fail locally;2016-05-14T03:42:50Z;2016-06-22T15:15:12Z
84;MDU6SXNzdWUxNTQ4NDU2MTc=;{'totalCount': 0};Syntaxnet README typo (?) on protobuf version;2016-05-14T10:13:16Z;2016-05-16T18:00:58Z
86;MDU6SXNzdWUxNTQ4NTA2MjM=;{'totalCount': 6};SyntaxNet parser_eval: No such file or directory;2016-05-14T12:18:15Z;2016-05-16T15:12:58Z
87;MDU6SXNzdWUxNTQ4NTEwNjQ=;{'totalCount': 1};How to suspend the training binary on GPU?;2016-05-14T12:30:15Z;2016-06-28T00:54:12Z
88;MDU6SXNzdWUxNTQ4NTQ5OTU=;{'totalCount': 4};bazel test syntaxnet/... util/utf8/... fails all tests on Arch linux;2016-05-14T13:58:57Z;2016-06-22T15:22:21Z
90;MDU6SXNzdWUxNTQ4NzEzOTY=;{'totalCount': 15};execute 0 out of 12 tests: 12 were skipped;2016-05-14T19:31:22Z;2016-06-22T15:19:04Z
91;MDU6SXNzdWUxNTQ4NzY2OTY=;{'totalCount': 6};""" Cannot execute binary file: Exec format error"" during bazel test on Ubuntu 16.04";2016-05-14T21:32:28Z;2016-05-16T15:13:39Z
93;MDU6SXNzdWUxNTQ4ODM4MDU=;{'totalCount': 1};Using Parsey McParseface in Unity3d;2016-05-15T01:00:19Z;2016-05-21T11:35:57Z
94;MDU6SXNzdWUxNTQ4ODUxMDk=;{'totalCount': 0};execute 0 out of 12 tests: 12 were skipped;2016-05-15T01:45:14Z;2016-05-15T02:30:05Z
95;MDU6SXNzdWUxNTQ4ODczOTA=;{'totalCount': 2};bazel error;2016-05-15T03:03:17Z;2016-05-21T11:38:49Z
97;MDU6SXNzdWUxNTQ5MDM2Mzg=;{'totalCount': 14};SyntaxNet ImportError: No module named _pywrap_tensorflow;2016-05-15T11:28:14Z;2016-05-18T09:07:23Z
98;MDU6SXNzdWUxNTQ5NTQ2NTE=;{'totalCount': 2};SyntaxNet : Not found: brain_pos/greedy/0/label-map;2016-05-16T03:35:05Z;2016-05-17T10:16:02Z
