number;id;comments;title;createdAt;closedAt
3;MDU6SXNzdWU1MDM0MDAyMA==;{'totalCount': 30};The relationship to node.js is confusing;2014-11-28T04:28:12Z;2015-01-08T18:34:16Z
4;MDU6SXNzdWU1MDM0MzE4Mw==;{'totalCount': 57};Feature Request: HTTP2;2014-11-28T05:54:19Z;2015-03-04T20:29:20Z
5;MDU6SXNzdWU1MDM0MzMzOQ==;{'totalCount': 40};Consistent sync and async function names;2014-11-28T05:58:19Z;2015-07-31T03:53:42Z
7;MDU6SXNzdWU1MDM2MDEzNQ==;{'totalCount': 1};simple/test-crypto-stream broken after openssl upgrade;2014-11-28T10:23:24Z;2014-11-28T10:43:08Z
9;MDU6SXNzdWU1MDQwMzQ0NA==;{'totalCount': 19};Splitting node in to more projects;2014-11-28T21:09:58Z;2014-12-04T17:37:09Z
11;MDU6SXNzdWU1MDQxNDk1OQ==;{'totalCount': 323};Feature Request: Every async function returns Promise;2014-11-29T04:33:13Z;2015-06-15T17:10:00Z
12;MDU6SXNzdWU1MDQxNTI4NA==;{'totalCount': 2};openssl-cli.exe child process stdin problem on Windows;2014-11-29T04:54:45Z;2014-11-29T11:37:39Z
13;MDU6SXNzdWU1MDQyMjEzNA==;{'totalCount': 3};Failed assert in AsyncWrap::MakeCallback(uint32_t, int, Handle) from test-timers-unref.js on ARM;2014-11-29T10:40:12Z;2014-12-18T17:55:31Z
16;MDU6SXNzdWU1MDQ0MzM1MA==;{'totalCount': 5};ENOTFOUND and ECONNRESET errors;2014-11-30T01:28:33Z;2014-12-08T16:53:36Z
18;MDU6SXNzdWU1MDQ0NjQ4Mg==;{'totalCount': 3};test-tls-server-verify takes too long, occasionally hits test timeout limit;2014-11-30T04:18:35Z;2015-01-23T01:05:13Z
19;MDU6SXNzdWU1MDQ0NjYxOQ==;{'totalCount': 3};Multiple persistent child-process-related test failures on Windows when running as a Service;2014-11-30T04:26:45Z;2014-11-30T23:38:25Z
20;MDU6SXNzdWU1MDYwMTUwMA==;{'totalCount': 5};Confirmation around contributing;2014-12-02T01:23:59Z;2014-12-17T06:15:09Z
26;MDU6SXNzdWU1MDY5NjA3NQ==;{'totalCount': 39};GitHub issue management;2014-12-02T18:29:43Z;2015-02-12T06:06:30Z
27;MDU6SXNzdWU1MDczNDM1Mw==;{'totalCount': 6};Community contrib direction;2014-12-02T22:15:29Z;2015-01-18T06:19:43Z
28;MDU6SXNzdWU1MDc0MDA5MA==;{'totalCount': 97};Initial Release;2014-12-02T22:48:08Z;2015-01-14T08:43:39Z
30;MDU6SXNzdWU1MDc1NzE3NQ==;{'totalCount': 4};README still points to nodejs IRC room;2014-12-03T01:03:27Z;2014-12-03T04:32:36Z
33;MDU6SXNzdWU1MDc2NjA0OQ==;{'totalCount': 5};What to do about a mailing list?;2014-12-03T02:18:25Z;2014-12-10T14:43:26Z
37;MDU6SXNzdWU1MDc4NDU5OQ==;{'totalCount': 878};logo ideas;2014-12-03T05:50:27Z;2015-07-21T21:59:01Z
39;MDU6SXNzdWU1MDgzNDIzMg==;{'totalCount': 22};Gitter chat room?;2014-12-03T13:01:39Z;2014-12-03T14:59:54Z
40;MDU6SXNzdWU1MDg0NjIwNw==;{'totalCount': 44};Working with nvm, nvmw and similar installation managers;2014-12-03T14:47:32Z;2014-12-11T12:48:37Z
43;MDU6SXNzdWU1MDg2Mjg1OA==;{'totalCount': 30};The binary and long term compatibility with node;2014-12-03T16:55:33Z;2015-01-30T18:49:25Z
46;MDU6SXNzdWU1MDg3Nzg4MA==;{'totalCount': 4};Tracking / Assuring Compatibility;2014-12-03T19:02:44Z;2015-01-18T06:56:26Z
47;MDU6SXNzdWU1MDg4MzYwNQ==;{'totalCount': 24};V8 upgrades and what they mean for versioning;2014-12-03T19:50:06Z;2015-01-22T17:14:25Z
50;MDU6SXNzdWU1MDg5NTU4Mw==;{'totalCount': 3};path.resolve across drives in Windows;2014-12-03T21:30:07Z;2015-01-22T15:14:40Z
51;MDU6SXNzdWU1MDkwMjQ0Mw==;{'totalCount': 21};Nominating Chris Dickinson to the TC;2014-12-03T22:30:47Z;2014-12-10T21:10:17Z
52;MDU6SXNzdWU1MDkwOTU5NA==;{'totalCount': 10};io.js on The Changelog!;2014-12-03T23:44:11Z;2015-01-18T07:42:35Z
53;MDU6SXNzdWU1MDkxMzE1Nw==;{'totalCount': 4};[streams] _flush not being called;2014-12-04T00:28:30Z;2015-08-14T00:25:43Z
54;MDU6SXNzdWU1MDkyMDk1NA==;{'totalCount': 3};npm install is unbelievably slow, fails in certain environments;2014-12-04T02:22:14Z;2014-12-08T13:31:16Z
55;MDU6SXNzdWU1MDkyMTYxNg==;{'totalCount': 24};Proposal: Move isaacs/readable-stream to iojs and make it the authoratative source;2014-12-04T02:34:08Z;2015-01-22T02:59:21Z
59;MDU6SXNzdWU1MDkzNjAwNg==;{'totalCount': 6};What goes in core / stdlib.js?;2014-12-04T07:18:04Z;2014-12-10T21:30:06Z
60;MDU6SXNzdWU1MDkzNzc5Nw==;{'totalCount': 24};Proposal: Comment all the code;2014-12-04T07:50:14Z;2015-01-18T07:14:53Z
61;MDU6SXNzdWU1MDk0MDUzMA==;{'totalCount': 0};My contribution to this logo throw in.;2014-12-04T08:34:37Z;2014-12-04T08:34:51Z
62;MDU6SXNzdWU1MDk0MDg2NQ==;{'totalCount': 11};extending options from a prototype;2014-12-04T08:39:43Z;2015-01-18T06:18:41Z
63;MDU6SXNzdWU1MDk0MDkyMw==;{'totalCount': 3};ee.getMaxListeners();2014-12-04T08:40:43Z;2014-12-04T22:28:47Z
64;MDU6SXNzdWU1MDk0MDk3NQ==;{'totalCount': 2};transform streams: unpipe or ignore future writes after .push(null);2014-12-04T08:41:25Z;2014-12-04T22:28:21Z
65;MDU6SXNzdWU1MDk0MTAwMg==;{'totalCount': 1};stream.read(0) should not trigger the `end` event if there is no underlying data;2014-12-04T08:41:48Z;2014-12-04T22:28:02Z
66;MDU6SXNzdWU1MDk0MTA1Mw==;{'totalCount': 91};deprecate domains;2014-12-04T08:42:35Z;2014-12-11T12:34:07Z
67;MDU6SXNzdWU1MDk2MDAwOA==;{'totalCount': 2};Contribution policy addition request;2014-12-04T10:39:08Z;2014-12-04T15:07:16Z
69;MDU6SXNzdWU1MDk4NzI2Mw==;{'totalCount': 13};Add `major`, `minor`, and `patch` labels to PRs, Issues;2014-12-04T15:19:18Z;2015-01-23T21:01:42Z
70;MDU6SXNzdWU1MTAwMzc1Ng==;{'totalCount': 10};Add `find` method to require;2014-12-04T17:29:46Z;2014-12-04T22:43:24Z
72;MDU6SXNzdWU1MTAzNDY3NA==;{'totalCount': 2};Is V8 the best JS engine today?;2014-12-04T21:56:15Z;2014-12-04T22:10:36Z
73;MDU6SXNzdWU1MTAzNjAzOQ==;{'totalCount': 7};The README is oriented towards Node;2014-12-04T22:08:57Z;2014-12-13T13:51:43Z
74;MDU6SXNzdWU1MTAzODY1Nw==;{'totalCount': 10};may be it's good idea go tell something about this fork?;2014-12-04T22:33:09Z;2014-12-07T16:29:06Z
77;MDU6SXNzdWU1MTA3MDEwNA==;{'totalCount': 4};Good but stagnant PRs from joyent/node;2014-12-05T07:14:14Z;2015-01-15T22:05:25Z
78;MDU6SXNzdWU1MTA3MTY3Mw==;{'totalCount': 0};Mani;2014-12-05T07:44:09Z;2014-12-05T08:03:00Z
