number;id;comments;title;createdAt;closedAt
1;MDU6SXNzdWU1Mjc1Mw==;{'totalCount': 11};Git autocomplete doesn't work on filenames;2009-08-31T15:14:45Z;2009-10-13T02:15:01Z
2;MDU6SXNzdWU1MjkwMg==;{'totalCount': 3};Incorrect formating when inside a git repo with robbyrussell theme;2009-08-31T21:21:11Z;2009-08-31T23:48:21Z
3;MDU6SXNzdWU1MzYyOQ==;{'totalCount': 4};Keep .rake_tasks out of project directory?;2009-09-02T17:39:39Z;2009-09-07T16:19:06Z
4;MDU6SXNzdWU1MzY0OA==;{'totalCount': 3};Annoyance: not a fan of the . alias as it overrides the . command;2009-09-02T18:31:22Z;2009-09-22T14:23:16Z
5;MDU6SXNzdWU2MDYyNw==;{'totalCount': 2};git diff auto-complete on filenames;2009-09-23T15:49:51Z;2009-11-08T23:40:28Z
6;MDU6SXNzdWU2MDYyOA==;{'totalCount': 2};Check for updates feature;2009-09-23T16:00:14Z;2009-09-24T00:15:23Z
7;MDU6SXNzdWU2MDY3Nw==;{'totalCount': 1};Git branch in title bar;2009-09-23T18:07:34Z;2010-05-18T01:58:20Z
8;MDU6SXNzdWU2MzYyNw==;{'totalCount': 10};Ubuntu compatibility;2009-10-01T06:49:33Z;2009-11-08T23:36:00Z
9;MDU6SXNzdWU2MzcxNA==;{'totalCount': 3};Ubuntu - check for upgrade not working;2009-10-01T12:15:45Z;2009-11-08T23:35:49Z
10;MDU6SXNzdWU2MzgzNQ==;{'totalCount': 5};Auto-updater / cannot find git;2009-10-01T17:33:18Z;2010-05-18T01:55:40Z
11;MDU6SXNzdWU2NDQyOA==;{'totalCount': 16};Every command results in a number of empty lines before the result that is increasing;2009-10-02T23:06:35Z;2009-12-02T06:42:52Z
12;MDU6SXNzdWU2NTU5OQ==;{'totalCount': 5};Moving Application Specific Aliases To Appropriate .zsh File;2009-10-06T16:12:12Z;2010-05-07T04:09:14Z
13;MDU6SXNzdWU2NTYyNg==;{'totalCount': 7};How to remove fn + backspace key binding?;2009-10-06T17:57:08Z;2009-12-02T06:49:00Z
14;MDU6SXNzdWU2NjgyOA==;{'totalCount': 11};autocompletion selects the first entry of the list;2009-10-09T06:21:31Z;2010-05-07T04:07:21Z
15;MDU6SXNzdWU2Nzg1Mg==;{'totalCount': 2};Single alias for two commands;2009-10-12T10:51:31Z;2009-10-13T02:16:05Z
16;MDU6SXNzdWU2ODM3Mg==;{'totalCount': 2};Ubuntu keymappings;2009-10-13T15:52:30Z;2010-05-18T08:58:11Z
17;MDU6SXNzdWU3MDY4MQ==;{'totalCount': 1};Alias conflicts with gdb;2009-10-19T09:20:35Z;2009-11-08T23:27:22Z
18;MDU6SXNzdWU3MTIyOA==;{'totalCount': 2};When an update occurs, display git log of commits pulled;2009-10-20T07:47:09Z;2010-05-18T01:57:50Z
19;MDU6SXNzdWU3MjA0MQ==;{'totalCount': 4};Rake not auto completing;2009-10-21T20:53:33Z;2010-05-07T04:05:11Z
20;MDU6SXNzdWU3MjExMA==;{'totalCount': 1};Errors if .ssh/known_hosts does not exist;2009-10-21T23:10:17Z;2009-11-08T23:35:02Z
21;MDU6SXNzdWU3MjE3NA==;{'totalCount': 2};Add support for auto-completion of tests/specs;2009-10-22T01:15:23Z;2010-05-18T01:57:06Z
22;MDU6SXNzdWU3NDQxMw==;{'totalCount': 2};Gem?;2009-10-27T04:11:12Z;2009-11-08T23:18:40Z
23;MDU6SXNzdWU3NjI1MQ==;{'totalCount': 6};Tab-completion of git makes the command move to the right;2009-10-29T22:25:44Z;2009-11-20T21:42:07Z
24;MDU6SXNzdWU3NjI2NQ==;{'totalCount': 2};check for upgrade syntax error;2009-10-30T00:04:27Z;2009-11-08T23:18:58Z
25;MDU6SXNzdWU3NzM0Ng==;{'totalCount': 4};Error when in .git directory;2009-11-02T16:37:37Z;2009-12-02T06:44:21Z
26;MDU6SXNzdWU3NzQ0MQ==;{'totalCount': 1};gdb is a debugger.;2009-11-02T19:20:16Z;2009-11-08T23:28:02Z
27;MDU6SXNzdWU4MDY0OA==;{'totalCount': 4};Recent patch messing with git;2009-11-09T15:32:34Z;2009-12-02T06:44:51Z
28;MDU6SXNzdWU4MjA0NQ==;{'totalCount': 8};Required zsh version;2009-11-12T02:40:52Z;2010-05-07T04:08:11Z
29;MDU6SXNzdWU4Mjc0Mg==;{'totalCount': 8};moving upwards when selecting between available options via shift+tab;2009-11-13T16:41:54Z;2010-05-07T03:52:57Z
30;MDU6SXNzdWU5MDI1Ng==;{'totalCount': 4};Completion from history;2009-11-30T22:41:45Z;2010-05-18T01:55:33Z
31;MDU6SXNzdWU5MDI2MA==;{'totalCount': 11}; zsh: no matches found: -?;2009-11-30T22:45:33Z;2009-12-02T06:48:42Z
32;MDU6SXNzdWU5NjQzMg==;{'totalCount': 1};Empty ,zsh-update file;2009-12-12T21:07:46Z;2009-12-12T21:45:50Z
33;MDU6SXNzdWU5OTk1NA==;{'totalCount': 1};\n and \c not interpreted in sh scripts;2009-12-18T22:09:36Z;2010-05-18T01:56:55Z
34;MDU6SXNzdWUxMDAwNTk=;{'totalCount': 5};cd autocomplete have entries beyond current directory;2009-12-19T07:56:02Z;2010-05-18T01:55:04Z
35;MDU6SXNzdWUxMzM1NzM=;{'totalCount': 7};no such file or directory error;2010-02-16T00:19:44Z;2010-05-18T08:56:25Z
36;MDU6SXNzdWUxMzg5MjE=;{'totalCount': 12};Annoying Appearance Bug;2010-02-24T09:16:19Z;2010-11-24T14:13:21Z
37;MDU6SXNzdWUxNDc2MjI=;{'totalCount': 2};Rake completion works better without lib/rake_completion.zsh;2010-03-09T18:46:47Z;2010-05-07T04:04:32Z
38;MDU6SXNzdWUxNjkxNjY=;{'totalCount': 6};"""Git branch in the prompt"" very slow on big repos";2010-04-11T09:33:06Z;2010-05-07T04:04:45Z
39;MDU6SXNzdWUxNzM3NzU=;{'totalCount': 5};When + icon (maximize/minimize) on terminal window top left is clicked .. prompts get added;2010-04-17T14:32:48Z;2010-05-07T03:58:32Z
40;MDU6SXNzdWUxODkzNzE=;{'totalCount': 2};Git repo dirty indicator not working;2010-05-07T22:37:54Z;2010-05-18T02:01:59Z
41;MDU6SXNzdWUxOTUxMTU=;{'totalCount': 3};git is always dirty;2010-05-13T21:32:11Z;2010-05-13T21:46:43Z
42;MDU6SXNzdWUxOTU4NTY=;{'totalCount': 5};known_hosts autocomplete not working;2010-05-14T19:50:44Z;2010-05-18T08:54:05Z
43;MDU6SXNzdWUyMDI4MjA=;{'totalCount': 11};Please add support for bzr / alternative VCS (via vcs_info?!);2010-05-21T19:55:31Z;2014-03-22T20:44:24Z
44;MDU6SXNzdWUyMDU4NzY=;{'totalCount': 2};rake_completion.zsh old capistrano version;2010-05-25T13:58:00Z;2011-05-26T07:09:35Z
45;MDU6SXNzdWUyMDkwNjM=;{'totalCount': 0};Incorrect quoting for terminal title (via termsupport.zsh);2010-05-28T23:14:06Z;2011-04-12T08:09:19Z
46;MDU6SXNzdWUyMTAxNzU=;{'totalCount': 2};rvm breakage;2010-05-31T00:01:08Z;2011-09-07T11:50:56Z
47;MDU6SXNzdWUyMTM2Njk=;{'totalCount': 12};New plugin system;2010-06-03T19:11:17Z;2011-04-29T08:55:39Z
48;MDU6SXNzdWUyMTM4NzQ=;{'totalCount': 4};Git directories always have the dirty icon;2010-06-04T00:56:58Z;2010-06-05T10:33:21Z
49;MDU6SXNzdWUyMTcxNDA=;{'totalCount': 2};Taking ... one step further;2010-06-08T18:59:49Z;2014-03-22T20:45:00Z
50;MDU6SXNzdWUyMTgzMDk=;{'totalCount': 2};Git plugin issue;2010-06-10T02:10:13Z;2010-06-10T19:41:53Z
51;MDU6SXNzdWUyMTg3NjY=;{'totalCount': 1};Git Diff uses mate (us linuxers dont have the pleasure :-P);2010-06-10T17:09:17Z;2010-06-10T17:09:49Z
52;MDU6SXNzdWUyMjIzMjc=;{'totalCount': 4};"GNU Screen window title always ""zsh""";2010-06-14T19:46:08Z;2011-04-12T08:09:20Z
53;MDU6SXNzdWUyMjI0NzQ=;{'totalCount': 8};Homebrew plugin causes error in new prompts;2010-06-14T23:25:31Z;2014-03-22T20:46:16Z
54;MDU6SXNzdWUyMjM3Mjc=;{'totalCount': 2};Brew plugin doesn't work;2010-06-16T11:54:50Z;2011-04-22T19:07:39Z
55;MDU6SXNzdWUyMjcxODA=;{'totalCount': 3};Better git status support;2010-06-21T06:18:55Z;2014-01-08T14:22:19Z
56;MDU6SXNzdWUyMjczMzk=;{'totalCount': 1};RPS1 and git_prompt_info;2010-06-21T11:07:51Z;2010-07-04T13:41:35Z
