number;id;comments;title;createdAt;closedAt
1;MDU6SXNzdWUyMTI4OTA3OTk=;{'totalCount': 2};Section on reverse proxies shows a diagram of a forward proxy;2017-03-08T23:38:56Z;2017-03-09T04:31:10Z
2;MDU6SXNzdWUyMTI4OTUzMTU=;{'totalCount': 2};Include this guide with github.com/open-guides ?;2017-03-09T00:02:16Z;2017-03-09T01:47:03Z
3;MDU6SXNzdWUyMTI5MTc0MDU=;{'totalCount': 3};Repo internal links from exercises/solutions are broken;2017-03-09T02:27:28Z;2017-03-09T03:20:25Z
4;MDU6SXNzdWUyMTI5MTk0MjU=;{'totalCount': 18};PDF Download;2017-03-09T02:42:09Z;
6;MDU6SXNzdWUyMTI5MjQ2NzY=;{'totalCount': 0};Migrate links from exercises/solutions to use internal links;2017-03-09T03:21:26Z;2017-03-19T19:23:05Z
7;MDU6SXNzdWUyMTI5MzIxOTQ=;{'totalCount': 2};Convert this to a Gitbook(suggestion);2017-03-09T04:25:40Z;
12;MDU6SXNzdWUyMTMyNDEyNjI=;{'totalCount': 1};Add Dyn DDoS attack link under disadvantages of DNS;2017-03-10T04:27:36Z;2017-03-11T02:08:31Z
15;MDU6SXNzdWUyMTMyNzY2NzA=;{'totalCount': 13};Make the OmniGraffle template and diagrams available;2017-03-10T08:33:53Z;2017-04-02T12:34:49Z
16;MDU6SXNzdWUyMTM0NTY4NDU=;{'totalCount': 1};add discussion of potential pitfalls of transient caches in concurrent scenarios;2017-03-10T21:29:38Z;2017-03-14T16:05:32Z
27;MDU6SXNzdWUyMTU2MzIxMjI=;{'totalCount': 1};How about a section on testing these architectures?;2017-03-21T05:21:45Z;
28;MDU6SXNzdWUyMTU3ODA4NTE=;{'totalCount': 26};Request for Translations;2017-03-21T15:32:56Z;
31;MDU6SXNzdWUyMTYzODU2MzY=;{'totalCount': 2};Change Zookeeper as example for service discovery;2017-03-23T10:45:01Z;2017-03-29T10:21:06Z
32;MDU6SXNzdWUyMTY1MDc0MTQ=;{'totalCount': 2};Company architectures link to old references;2017-03-23T17:20:27Z;
38;MDU6SXNzdWUyMTcyMTYwNjY=;{'totalCount': 8};Simplified Chinese translation;2017-03-27T11:29:16Z;
39;MDU6SXNzdWUyMTcyMTYzMjA=;{'totalCount': 16};Turkish translation;2017-03-27T11:30:14Z;
40;MDU6SXNzdWUyMTcyMTY0MTA=;{'totalCount': 21};Brazilian Portuguese translation;2017-03-27T11:30:44Z;
41;MDU6SXNzdWUyMTc3NjA0Njg=;{'totalCount': 0};Topic suggestion: distributed logging and monitoring;2017-03-29T04:16:36Z;
42;MDU6SXNzdWUyMTc3NjEwNDA=;{'totalCount': 1};Topic suggestion: config, devops, and deployment strategy;2017-03-29T04:21:59Z;
43;MDU6SXNzdWUyMTc3NjExNjk=;{'totalCount': 1};Topic suggestion: authentication services;2017-03-29T04:23:05Z;
44;MDU6SXNzdWUyMTgwNjM3NDU=;{'totalCount': 3};what's the drawing tool on reademe;2017-03-30T02:32:37Z;2017-03-30T11:35:36Z
45;MDU6SXNzdWUyMTg0MTczMjc=;{'totalCount': 1};sorry, I push wrong place!;2017-03-31T07:15:11Z;2017-04-02T12:11:40Z
53;MDU6SXNzdWUyMjAxOTUxOTE=;{'totalCount': 0};vulture analysis report;2017-04-07T12:07:06Z;
54;MDU6SXNzdWUyMjAyNTI2NjQ=;{'totalCount': 2};Which tool has been used to create the Diagram?;2017-04-07T15:45:17Z;2017-04-08T00:30:47Z
58;MDU6SXNzdWUyMjExMzYwNjU=;{'totalCount': 2};a broken link;2017-04-12T02:48:09Z;2017-04-14T01:05:38Z
63;MDU6SXNzdWUyMjE5NDQyOTQ=;{'totalCount': 2};Efficient method to address concurrent requests in a successfully e-commerce platform;2017-04-15T11:57:33Z;
66;MDU6SXNzdWUyMjIwNTcwODI=;{'totalCount': 1};Notice: Maintainer Temporarily Unavailable;2017-04-17T03:19:06Z;2017-05-16T03:34:45Z
68;MDU6SXNzdWUyMjMxMTg5NzE=;{'totalCount': 2};Polish translation;2017-04-20T16:06:13Z;
77;MDU6SXNzdWUyMjg1NDExMjI=;{'totalCount': 1};Topic suggestion: More related to communication layers;2017-05-14T13:16:10Z;
79;MDU6SXNzdWUyMzAyMjYxNjA=;{'totalCount': 2};Inaccuracy in Twitter timeline and search example;2017-05-21T14:56:03Z;2017-05-27T00:31:36Z
86;MDU6SXNzdWUyMzc3NDY0NjM=;{'totalCount': 3};Unit prefix in Powers of two table;2017-06-22T06:43:53Z;
87;MDU6SXNzdWUyMzk1MTc2NzM=;{'totalCount': 5};Russian Translation;2017-06-29T15:25:16Z;
88;MDU6SXNzdWUyMzk5NTUxNjc=;{'totalCount': 1};Traditional Chinese Translation;2017-07-01T15:19:23Z;2018-02-28T02:42:04Z
90;MDU6SXNzdWUyNDA0Nzk4MTI=;{'totalCount': 2};Difference between pull and push CDN;2017-07-04T18:27:14Z;2017-09-12T00:40:02Z
100;MDU6SXNzdWUyNTc4OTI2NzQ=;{'totalCount': 10};Japanese Translation;2017-09-15T00:20:31Z;
102;MDU6SXNzdWUyNTc5MzIxMzA=;{'totalCount': 10};Korean Translation;2017-09-15T05:35:37Z;
104;MDU6SXNzdWUyNTg2NTM1MzQ=;{'totalCount': 1};Italian Translation;2017-09-18T23:42:52Z;
107;MDU6SXNzdWUyNjAwNDQwNjc=;{'totalCount': 0};Design Amazon's sales rank by category feature;2017-09-23T22:56:30Z;
110;MDU6SXNzdWUyNjIxNzE3Mjc=;{'totalCount': 6};Persian Translation;2017-10-02T17:58:52Z;
126;MDU6SXNzdWUyODk3OTAyMjA=;{'totalCount': 7};Anki flash cards errors;2018-01-18T21:58:23Z;2018-09-02T18:10:48Z
127;MDU6SXNzdWUyOTAxNjkxOTk=;{'totalCount': 12};Vietnamese Translation ;2018-01-20T06:13:44Z;
130;MDU6SXNzdWUyOTUzNDgwMzM=;{'totalCount': 0};Greek Translation;2018-02-08T00:55:08Z;
134;MDU6SXNzdWUyOTg0MTA4MTM=;{'totalCount': 2};Request: Adding average time-to-read with each topic/task will help in planing;2018-02-19T21:53:35Z;
136;MDU6SXNzdWUyOTk1MTU1MDc=;{'totalCount': 21};Spanish translation;2018-02-22T21:31:18Z;
