number;id;comments;title;createdAt;closedAt
1;MDU6SXNzdWUxMTU4ODYzMDI=;{'totalCount': 48};Add support for Python 3.x;2015-11-09T14:21:11Z;2015-12-08T00:03:00Z
2;MDU6SXNzdWUxMTU4OTQxMzg=;{'totalCount': 4};"OSX Yosemite ""can't determine number of CPU cores: assuming 4""";2015-11-09T15:00:48Z;2015-11-09T15:02:57Z
3;MDU6SXNzdWUxMTU4OTY2NTY=;{'totalCount': 19};JVM, .NET Language Support;2015-11-09T15:11:28Z;2017-02-01T07:57:22Z
4;MDU6SXNzdWUxMTU4OTg0NDk=;{'totalCount': 3};Installation over pip fails to import with protobuf 2.6.1;2015-11-09T15:20:48Z;2015-11-09T15:30:16Z
5;MDU6SXNzdWUxMTU5MTA5MDA=;{'totalCount': 112};Java interface;2015-11-09T16:18:36Z;2017-02-01T07:55:08Z
6;MDU6SXNzdWUxMTU5MTE3MzU=;{'totalCount': 22};Pre-trained models;2015-11-09T16:22:32Z;2016-04-15T16:35:42Z
7;MDU6SXNzdWUxMTU5MTIxMTE=;{'totalCount': 27};API docs does not list RNNs;2015-11-09T16:24:31Z;2015-12-16T06:46:16Z
8;MDU6SXNzdWUxMTU5MTQ0OTU=;{'totalCount': 4};Setting lower gcc version for cuda;2015-11-09T16:35:47Z;2015-12-16T06:47:34Z
9;MDU6SXNzdWUxMTU5MTQ2OTE=;{'totalCount': 2};Typo in getting started guide;2015-11-09T16:36:49Z;2015-11-09T18:51:31Z
10;MDU6SXNzdWUxMTU5MTQ3NjY=;{'totalCount': 66};Go API;2015-11-09T16:37:15Z;2016-11-22T02:43:20Z
11;MDU6SXNzdWUxMTU5MTQ4MTM=;{'totalCount': 21};0.5.0 wheel install on Mac OS X using Homebrew python broken;2015-11-09T16:37:31Z;2015-11-13T22:28:03Z
12;MDU6SXNzdWUxMTU5MTUzOTU=;{'totalCount': 3};Remote worker configuration;2015-11-09T16:40:22Z;2015-11-09T19:18:55Z
14;MDU6SXNzdWUxMTU5MTg0NjQ=;{'totalCount': 7};g3doc format;2015-11-09T16:55:48Z;2015-12-16T06:48:17Z
15;MDU6SXNzdWUxMTU5MjIxMzU=;{'totalCount': 5};Quantized ops?;2015-11-09T17:10:49Z;2015-12-16T06:49:29Z
