name;owner;url;stargazers;issues;primaryLanguage
996.ICU;996icu;https://github.com/996icu/996.ICU;{'totalCount': 249476};{'totalCount': 0};{'name': 'Rust'}
vue;vuejs;https://github.com/vuejs/vue;{'totalCount': 163642};{'totalCount': 8988};{'name': 'JavaScript'}
react;facebook;https://github.com/facebook/react;{'totalCount': 148373};{'totalCount': 9118};{'name': 'JavaScript'}
free-programming-books;EbookFoundation;https://github.com/EbookFoundation/free-programming-books;{'totalCount': 147040};{'totalCount': 427};
tensorflow;tensorflow;https://github.com/tensorflow/tensorflow;{'totalCount': 144096};{'totalCount': 24866};{'name': 'C++'}
bootstrap;twbs;https://github.com/twbs/bootstrap;{'totalCount': 140629};{'totalCount': 19239};{'name': 'JavaScript'}
awesome;sindresorhus;https://github.com/sindresorhus/awesome;{'totalCount': 132725};{'totalCount': 249};
You-Dont-Know-JS;getify;https://github.com/getify/You-Dont-Know-JS;{'totalCount': 121009};{'totalCount': 833};
coding-interview-university;jwasham;https://github.com/jwasham/coding-interview-university;{'totalCount': 113980};{'totalCount': 114};
ohmyzsh;ohmyzsh;https://github.com/ohmyzsh/ohmyzsh;{'totalCount': 109453};{'totalCount': 3326};{'name': 'Shell'}
developer-roadmap;kamranahmedse;https://github.com/kamranahmedse/developer-roadmap;{'totalCount': 107527};{'totalCount': 418};
gitignore;github;https://github.com/github/gitignore;{'totalCount': 101215};{'totalCount': 0};
CS-Notes;CyC2018;https://github.com/CyC2018/CS-Notes;{'totalCount': 100438};{'totalCount': 398};{'name': 'Java'}
vscode;microsoft;https://github.com/microsoft/vscode;{'totalCount': 96036};{'totalCount': 88878};{'name': 'TypeScript'}
javascript;airbnb;https://github.com/airbnb/javascript;{'totalCount': 95229};{'totalCount': 984};{'name': 'JavaScript'}
system-design-primer;donnemartin;https://github.com/donnemartin/system-design-primer;{'totalCount': 94513};{'totalCount': 117};{'name': 'Python'}
flutter;flutter;https://github.com/flutter/flutter;{'totalCount': 92076};{'totalCount': 36683};{'name': 'Dart'}
d3;d3;https://github.com/d3/d3;{'totalCount': 91399};{'totalCount': 2036};{'name': 'JavaScript'}
linux;torvalds;https://github.com/torvalds/linux;{'totalCount': 90741};{'totalCount': 0};{'name': 'C'}
react-native;facebook;https://github.com/facebook/react-native;{'totalCount': 87056};{'totalCount': 19331};{'name': 'JavaScript'}
Python-100-Days;jackfrued;https://github.com/jackfrued/Python-100-Days;{'totalCount': 85260};{'totalCount': 345};{'name': 'Jupyter Notebook'}
electron;electron;https://github.com/electron/electron;{'totalCount': 82535};{'totalCount': 12895};{'name': 'C++'}
awesome-python;vinta;https://github.com/vinta/awesome-python;{'totalCount': 82265};{'totalCount': 166};{'name': 'Python'}
public-apis;public-apis;https://github.com/public-apis/public-apis;{'totalCount': 81219};{'totalCount': 128};{'name': 'Python'}
create-react-app;facebook;https://github.com/facebook/create-react-app;{'totalCount': 78537};{'totalCount': 5783};{'name': 'JavaScript'}
JavaGuide;Snailclimb;https://github.com/Snailclimb/JavaGuide;{'totalCount': 78131};{'totalCount': 379};{'name': 'Java'}
the-art-of-command-line;jlevy;https://github.com/jlevy/the-art-of-command-line;{'totalCount': 75061};{'totalCount': 163};
axios;axios;https://github.com/axios/axios;{'totalCount': 73009};{'totalCount': 2280};{'name': 'JavaScript'}
go;golang;https://github.com/golang/go;{'totalCount': 72304};{'totalCount': 37677};{'name': 'Go'}
Python;TheAlgorithms;https://github.com/TheAlgorithms/Python;{'totalCount': 71127};{'totalCount': 292};{'name': 'Python'}
build-your-own-x;danistefanovic;https://github.com/danistefanovic/build-your-own-x;{'totalCount': 70413};{'totalCount': 315};
node;nodejs;https://github.com/nodejs/node;{'totalCount': 69831};{'totalCount': 11579};{'name': 'JavaScript'}
javascript-algorithms;trekhleb;https://github.com/trekhleb/javascript-algorithms;{'totalCount': 69759};{'totalCount': 134};{'name': 'JavaScript'}
animate.css;animate-css;https://github.com/animate-css/animate.css;{'totalCount': 66569};{'totalCount': 704};{'name': 'CSS'}
free-programming-books-zh_CN;justjavac;https://github.com/justjavac/free-programming-books-zh_CN;{'totalCount': 66272};{'totalCount': 0};
youtube-dl;ytdl-org;https://github.com/ytdl-org/youtube-dl;{'totalCount': 65930};{'totalCount': 20234};{'name': 'Python'}
kubernetes;kubernetes;https://github.com/kubernetes/kubernetes;{'totalCount': 65878};{'totalCount': 34654};{'name': 'Go'}
models;tensorflow;https://github.com/tensorflow/models;{'totalCount': 63605};{'totalCount': 5281};{'name': 'Python'}
Font-Awesome;FortAwesome;https://github.com/FortAwesome/Font-Awesome;{'totalCount': 62787};{'totalCount': 15936};{'name': 'JavaScript'}
terminal;microsoft;https://github.com/microsoft/terminal;{'totalCount': 61273};{'totalCount': 4557};{'name': 'C++'}
puppeteer;puppeteer;https://github.com/puppeteer/puppeteer;{'totalCount': 61147};{'totalCount': 3930};{'name': 'JavaScript'}
angular;angular;https://github.com/angular/angular;{'totalCount': 60852};{'totalCount': 20726};{'name': 'TypeScript'}
three.js;mrdoob;https://github.com/mrdoob/three.js;{'totalCount': 60417};{'totalCount': 9701};{'name': 'JavaScript'}
TypeScript;microsoft;https://github.com/microsoft/TypeScript;{'totalCount': 60148};{'totalCount': 26229};{'name': 'TypeScript'}
computer-science;ossu;https://github.com/ossu/computer-science;{'totalCount': 59595};{'totalCount': 448};
ant-design;ant-design;https://github.com/ant-design/ant-design;{'totalCount': 59551};{'totalCount': 17199};{'name': 'TypeScript'}
angular.js;angular;https://github.com/angular/angular.js;{'totalCount': 59539};{'totalCount': 8986};{'name': 'JavaScript'}
laravel;laravel;https://github.com/laravel/laravel;{'totalCount': 59042};{'totalCount': 0};{'name': 'PHP'}
java-design-patterns;iluwatar;https://github.com/iluwatar/java-design-patterns;{'totalCount': 57601};{'totalCount': 542};{'name': 'Java'}
material-ui;mui-org;https://github.com/mui-org/material-ui;{'totalCount': 57188};{'totalCount': 11045};{'name': 'JavaScript'}
moby;moby;https://github.com/moby/moby;{'totalCount': 57015};{'totalCount': 20169};{'name': 'Go'}
30-seconds-of-code;30-seconds;https://github.com/30-seconds/30-seconds-of-code;{'totalCount': 56427};{'totalCount': 241};{'name': 'JavaScript'}
awesome-go;avelino;https://github.com/avelino/awesome-go;{'totalCount': 54204};{'totalCount': 218};{'name': 'Go'}
webpack;webpack;https://github.com/webpack/webpack;{'totalCount': 54131};{'totalCount': 7091};{'name': 'JavaScript'}
vue-element-admin;PanJiaChen;https://github.com/PanJiaChen/vue-element-admin;{'totalCount': 54011};{'totalCount': 2690};{'name': 'Vue'}
awesome-vue;vuejs;https://github.com/vuejs/awesome-vue;{'totalCount': 53998};{'totalCount': 170};
LeetCodeAnimation;MisterBooo;https://github.com/MisterBooo/LeetCodeAnimation;{'totalCount': 53714};{'totalCount': 32};{'name': 'Java'}
thefuck;nvbn;https://github.com/nvbn/thefuck;{'totalCount': 53406};{'totalCount': 542};{'name': 'Python'}
jquery;jquery;https://github.com/jquery/jquery;{'totalCount': 53295};{'totalCount': 2006};{'name': 'JavaScript'}
redux;reduxjs;https://github.com/reduxjs/redux;{'totalCount': 53140};{'totalCount': 1759};{'name': 'TypeScript'}
atom;atom;https://github.com/atom/atom;{'totalCount': 51859};{'totalCount': 15672};{'name': 'JavaScript'}
swift;apple;https://github.com/apple/swift;{'totalCount': 51519};{'totalCount': 0};{'name': 'C++'}
reveal.js;hakimel;https://github.com/hakimel/reveal.js;{'totalCount': 51488};{'totalCount': 1779};{'name': 'JavaScript'}
flask;pallets;https://github.com/pallets/flask;{'totalCount': 50246};{'totalCount': 1927};{'name': 'Python'}
deno;denoland;https://github.com/denoland/deno;{'totalCount': 49563};{'totalCount': 1908};{'name': 'TypeScript'}
socket.io;socketio;https://github.com/socketio/socket.io;{'totalCount': 49546};{'totalCount': 2839};{'name': 'JavaScript'}
shadowsocks-windows;shadowsocks;https://github.com/shadowsocks/shadowsocks-windows;{'totalCount': 49235};{'totalCount': 2491};{'name': 'C#'}
django;django;https://github.com/django/django;{'totalCount': 49168};{'totalCount': 0};{'name': 'Python'}
elasticsearch;elastic;https://github.com/elastic/elasticsearch;{'totalCount': 48733};{'totalCount': 23663};{'name': 'Java'}
Chart.js;chartjs;https://github.com/chartjs/Chart.js;{'totalCount': 48638};{'totalCount': 5104};{'name': 'JavaScript'}
express;expressjs;https://github.com/expressjs/express;{'totalCount': 48536};{'totalCount': 3277};{'name': 'JavaScript'}
keras;keras-team;https://github.com/keras-team/keras;{'totalCount': 48139};{'totalCount': 10100};{'name': 'Python'}
next.js;zeit;https://github.com/zeit/next.js;{'totalCount': 47942};{'totalCount': 6314};{'name': 'JavaScript'}
storybook;storybookjs;https://github.com/storybookjs/storybook;{'totalCount': 47874};{'totalCount': 5294};{'name': 'TypeScript'}
Semantic-UI;Semantic-Org;https://github.com/Semantic-Org/Semantic-UI;{'totalCount': 47828};{'totalCount': 6091};{'name': 'JavaScript'}
spring-boot;spring-projects;https://github.com/spring-projects/spring-boot;{'totalCount': 47546};{'totalCount': 17066};{'name': 'Java'}
json-server;typicode;https://github.com/typicode/json-server;{'totalCount': 47224};{'totalCount': 864};{'name': 'JavaScript'}
Apollo-11;chrislgarry;https://github.com/chrislgarry/Apollo-11;{'totalCount': 47054};{'totalCount': 359};{'name': 'Assembly'}
FiraCode;tonsky;https://github.com/tonsky/FiraCode;{'totalCount': 46846};{'totalCount': 892};{'name': 'Clojure'}
httpie;jakubroztocil;https://github.com/jakubroztocil/httpie;{'totalCount': 46659};{'totalCount': 601};{'name': 'Python'}
netdata;netdata;https://github.com/netdata/netdata;{'totalCount': 46561};{'totalCount': 5186};{'name': 'C'}
markdown-here;adam-p;https://github.com/adam-p/markdown-here;{'totalCount': 46222};{'totalCount': 543};{'name': 'JavaScript'}
rails;rails;https://github.com/rails/rails;{'totalCount': 45544};{'totalCount': 13718};{'name': 'Ruby'}
architect-awesome;xingshaocheng;https://github.com/xingshaocheng/architect-awesome;{'totalCount': 45264};{'totalCount': 62};
element;ElemeFE;https://github.com/ElemeFE/element;{'totalCount': 45156};{'totalCount': 15020};{'name': 'Vue'}
html5-boilerplate;h5bp;https://github.com/h5bp/html5-boilerplate;{'totalCount': 44787};{'totalCount': 1166};{'name': 'JavaScript'}
